Date,ATL
Jul-2009,110.09
Aug-2009,111.27
Sep-2009,111.26
Oct-2009,110.12
Nov-2009,109.29
Dec-2009,108.62
Jan-2010,107.04
Feb-2010,105.65
Mar-2010,103.73
Apr-2010,105.69
May-2010,107.86
Jun-2010,109.72
Jul-2010,110.02
Aug-2010,108.95
Sep-2010,106.39
Oct-2010,103.3
Nov-2010,100.8
Dec-2010,100.06
Jan-2011,100.33
Feb-2011,100.68
Mar-2011,100.33
Apr-2011,101.81
May-2011,102.8
Jun-2011,104.32
Jul-2011,104.55
Aug-2011,102.04
Sep-2011,95.99
Oct-2011,91.21
Nov-2011,88.92
Dec-2011,87.3
Jan-2012,85.44
Feb-2012,83.27
Mar-2012,82.54
Apr-2012,84.48
May-2012,87.87
Jun-2012,91.75
Jul-2012,94.15
Aug-2012,95.8
Sep-2012,96.06
Oct-2012,95.6
Nov-2012,95.68
Dec-2012,95.95
Jan-2013,96.98
Feb-2013,97.01
Mar-2013,98.25
Apr-2013,102.01
May-2013,105.51
Jun-2013,109.15
Jul-2013,111.54
Aug-2013,113.47
Sep-2013,113.99
Oct-2013,113.72
Nov-2013,113.37
Dec-2013,113.35
Jan-2014,113.23
Feb-2014,112.6
Mar-2014,113.76
Apr-2014,115.88
May-2014,117.22
Jun-2014,118.42
Jul-2014,118.95
Aug-2014,119.38
Sep-2014,119.03
Oct-2014,118.8
Nov-2014,118.95
Dec-2014,119.11
Jan-2015,118.79
Feb-2015,118.88
Mar-2015,119.99
Apr-2015,121.53
May-2015,123.24
Jun-2015,124.81
Jul-2015,125.85
Aug-2015,126.18
Sep-2015,126.29
Oct-2015,126.01
Nov-2015,125.72
Dec-2015,125.6
Jan-2016,125.68
Feb-2016,126.36
Mar-2016,127.74
Apr-2016,129.37
May-2016,130.94
Jun-2016,131.93
Jul-2016,132.4
Aug-2016,132.73
Sep-2016,132.9
Oct-2016,133.3
Nov-2016,133.2
Dec-2016,133.29
Jan-2017,132.84
Feb-2017,133.41
Mar-2017,134.89
Apr-2017,136.84
May-2017,138.09
Jun-2017,138.95
Jul-2017,139.5
Aug-2017,139.89
Sep-2017,140.25
Oct-2017,140.08
Nov-2017,140.16
Dec-2017,140.51
Jan-2018,141.43
Feb-2018,142.08
Mar-2018,143.21
Apr-2018,144.36
May-2018,145.85
Jun-2018,146.75
Jul-2018,147.5
Aug-2018,147.85
Sep-2018,148.17
Oct-2018,148.43
Nov-2018,148.71
Dec-2018,148.75
Jan-2019,148.36
Feb-2019,148.85
Mar-2019,149.96
Apr-2019,151.52
May-2019,152.51
Jun-2019,153.32
Jul-2019,153.46
Aug-2019,153.81
