Date,BOS
Jul-2009,154.53
Aug-2009,155.94
Sep-2009,155.62
Oct-2009,154.71
Nov-2009,153.98
Dec-2009,153.78
Jan-2010,153.01
Feb-2010,151.42
Mar-2010,151.39
Apr-2010,153.56
May-2010,155.95
Jun-2010,157.83
Jul-2010,158.83
Aug-2010,158.35
Sep-2010,156.27
Oct-2010,154.34
Nov-2010,152.76
Dec-2010,152.52
Jan-2011,152.18
Feb-2011,149.83
Mar-2011,147.33
Apr-2011,147.06
May-2011,150.89
Jun-2011,154.46
Jul-2011,155.75
Aug-2011,155.58
Sep-2011,154.39
Oct-2011,152.7
Nov-2011,150.33
Dec-2011,148.53
Jan-2012,147.87
Feb-2012,146.26
Mar-2012,145.95
Apr-2012,147.16
May-2012,150.63
Jun-2012,154.4
Jul-2012,157.18
Aug-2012,158.26
Sep-2012,157.25
Oct-2012,155.11
Nov-2012,153.71
Dec-2012,153.81
Jan-2013,153.8
Feb-2013,153.9
Mar-2013,155.71
Apr-2013,159.13
May-2013,161.94
Jun-2013,164.75
Jul-2013,167.02
Aug-2013,168.26
Sep-2013,169.02
Oct-2013,168.42
Nov-2013,168.78
Dec-2013,168.65
Jan-2014,167.82
Feb-2014,166.98
Mar-2014,168.42
Apr-2014,173.53
May-2014,175.35
Jun-2014,176.23
Jul-2014,176.38
Aug-2014,176.59
Sep-2014,176.4
Oct-2014,175.6
Nov-2014,175.27
Dec-2014,174.97
Jan-2015,175.75
Feb-2015,175.37
Mar-2015,176.15
Apr-2015,176.52
May-2015,179.26
Jun-2015,181.86
Jul-2015,183.85
Aug-2015,184.53
Sep-2015,184.4
Oct-2015,184.1
Nov-2015,183.2
Dec-2015,182.77
Jan-2016,182.1
Feb-2016,181.9
Mar-2016,184.06
Apr-2016,186.68
May-2016,189.22
Jun-2016,190.28
Jul-2016,191.38
Aug-2016,191.94
Sep-2016,192.17
Oct-2016,192.25
Nov-2016,193.14
Dec-2016,194.06
Jan-2017,194.8
Feb-2017,195.5
Mar-2017,197.93
Apr-2017,199.19
May-2017,200.58
Jun-2017,202.13
Jul-2017,204.39
Aug-2017,205.16
Sep-2017,206
Oct-2017,205.43
Nov-2017,205.09
Dec-2017,204.72
Jan-2018,205.21
Feb-2018,206.92
Mar-2018,209.04
Apr-2018,212.64
May-2018,214.28
Jun-2018,215.89
Jul-2018,216.16
Aug-2018,216.24
Sep-2018,216.26
Oct-2018,216.28
Nov-2018,216.42
Dec-2018,215.27
Jan-2019,214.35
Feb-2019,213.45
Mar-2019,216.94
Apr-2019,220.86
May-2019,221.85
Jun-2019,224.13
Jul-2019,224.48
Aug-2019,224.74
