Date,DJIA
2004-11-01,10428.01953
2004-12-01,10783.00977
2005-01-01,10489.94043
2005-02-01,10766.23047
2005-03-01,10503.75977
2005-04-01,10192.50977
2005-05-01,10467.48047
2005-06-01,10274.96973
2005-07-01,10640.91016
2005-08-01,10481.59961
2005-09-01,10568.7002
2005-10-01,10440.07031
2005-11-01,10805.87012
2005-12-01,10717.5
2006-01-01,10864.86035
2006-02-01,10993.41016
2006-03-01,11109.32031
2006-04-01,11367.13965
2006-05-01,11168.30957
2006-06-01,11150.21973
2006-07-01,11185.67969
2006-08-01,11381.15039
2006-09-01,11679.07031
2006-10-01,12080.73047
2006-11-01,12221.92969
2006-12-01,12463.15039
2007-01-01,12621.69043
2007-02-01,12268.62988
2007-03-01,12354.34961
2007-04-01,13062.91016
2007-05-01,13627.63965
2007-06-01,13408.62012
2007-07-01,13211.99023
2007-08-01,13357.74023
2007-09-01,13895.62988
2007-10-01,13930.00977
2007-11-01,13371.71973
2007-12-01,13264.82031
2008-01-01,12650.36035
2008-02-01,12266.38965
2008-03-01,12262.88965
2008-04-01,12820.12988
2008-05-01,12638.32031
2008-06-01,11350.00977
2008-07-01,11378.01953
2008-08-01,11543.95996
2008-09-01,10850.66016
2008-10-01,9325.009766
2008-11-01,8829.040039
2008-12-01,8776.389648
2009-01-01,8000.859863
2009-02-01,7062.930176
2009-03-01,7608.919922
2009-04-01,8168.120117
2009-05-01,8500.330078
2009-06-01,8447
2009-07-01,9171.610352
2009-08-01,9496.280273
2009-09-01,9712.280273
2009-10-01,9712.730469
2009-11-01,10344.83984
2009-12-01,10428.04981
2010-01-01,10067.33008
2010-02-01,10325.25977
2010-03-01,10856.62988
2010-04-01,11008.61035
2010-05-01,10136.62988
2010-06-01,9774.019531
2010-07-01,10465.94043
2010-08-01,10014.71973
2010-09-01,10788.04981
2010-10-01,11118.49023
2010-11-01,11006.01953
2010-12-01,11577.50977
2011-01-01,11891.92969
2011-02-01,12226.33984
2011-03-01,12319.73047
2011-04-01,12810.54004
2011-05-01,12569.79004
2011-06-01,12414.33984
2011-07-01,12143.24023
2011-08-01,11613.53027
2011-09-01,10913.37988
2011-10-01,11955.00977
2011-11-01,12045.67969
2011-12-01,12217.55957
2012-01-01,12632.91016
2012-02-01,12952.07031
2012-03-01,13212.04004
2012-04-01,13213.62988
2012-05-01,12393.4502
2012-06-01,12880.08984
2012-07-01,13008.67969
2012-08-01,13090.83984
2012-09-01,13437.12988
2012-10-01,13096.45996
2012-11-01,13025.58008
2012-12-01,13104.13965
2013-01-01,13860.58008
2013-02-01,14054.49023
2013-03-01,14578.54004
2013-04-01,14839.79981
2013-05-01,15115.57031
2013-06-01,14909.59961
2013-07-01,15499.54004
2013-08-01,14810.30957
2013-09-01,15129.66992
2013-10-01,15545.75
2013-11-01,16086.41016
2013-12-01,16576.66016
2014-01-01,15698.84961
2014-02-01,16321.70996
2014-03-01,16457.66016
2014-04-01,16580.83984
2014-05-01,16717.16992
2014-06-01,16826.59961
2014-07-01,16563.30078
2014-08-01,17098.44922
2014-09-01,17042.90039
2014-10-01,17390.51953
2014-11-01,17828.24023
2014-12-01,17823.07031
2015-01-01,17164.94922
2015-02-01,18132.69922
2015-03-01,17776.11914
2015-04-01,17840.51953
2015-05-01,18010.67969
2015-06-01,17619.50977
2015-07-01,17689.85938
2015-08-01,16528.0293
2015-09-01,16284.7002
2015-10-01,17663.53906
2015-11-01,17719.91992
2015-12-01,17425.0293
2016-01-01,16466.30078
2016-02-01,16516.5
2016-03-01,17685.08984
2016-04-01,17773.64063
2016-05-01,17787.19922
2016-06-01,17929.99023
2016-07-01,18432.24023
2016-08-01,18400.88086
2016-09-01,18308.15039
2016-10-01,18142.41992
2016-11-01,19123.58008
2016-12-01,19762.59961
2017-01-01,19864.08984
2017-02-01,20812.24023
2017-03-01,20663.2207
2017-04-01,20940.50977
2017-05-01,21008.65039
2017-06-01,21349.63086
2017-07-01,21891.11914
2017-08-01,21948.09961
2017-09-01,22405.08984
2017-10-01,23377.24023
2017-11-01,24272.34961
2017-12-01,24719.2207
2018-01-01,26149.39063
2018-02-01,25029.19922
2018-03-01,24103.10938
2018-04-01,24163.15039
2018-05-01,24415.83984
2018-06-01,24271.41016
2018-07-01,25415.18945
2018-08-01,25964.82031
2018-09-01,26458.31055
2018-10-01,25115.75977
2018-11-01,25538.46094
2018-12-01,23327.46094
2019-01-01,24999.66992
2019-02-01,25916
2019-03-01,25928.67969
2019-04-01,26592.91016
2019-05-01,24815.03906
2019-06-01,26599.96094
2019-07-01,26864.26953
2019-08-01,26403.2793
2019-09-01,26916.83008
2019-10-01,27046.23047
2019-11-01,27875.61914
