Date,DET
Jul-2009,70.24
Aug-2009,71.59
Sep-2009,72.81
Oct-2009,72.88
Nov-2009,72.41
Dec-2009,72.56
Jan-2010,71.84
Feb-2010,70.55
Mar-2010,67.68
Apr-2010,67.81
May-2010,68.34
Jun-2010,70.04
Jul-2010,71.17
Aug-2010,71.5
Sep-2010,70.59
Oct-2010,69.24
Nov-2010,68.1
Dec-2010,68.07
Jan-2011,67.63
Feb-2011,67.58
Mar-2011,65.18
Apr-2011,64.47
May-2011,65.7
Jun-2011,69.47
Jul-2011,72.63
Aug-2011,73.6
Sep-2011,74.16
Oct-2011,72.8
Nov-2011,71.8
Dec-2011,70.46
Jan-2012,70.28
Feb-2012,69.95
Mar-2012,68.13
Apr-2012,67.87
May-2012,71.2
Jun-2012,75.08
Jul-2012,77.65
Aug-2012,79.48
Sep-2012,80.11
Oct-2012,80.82
Nov-2012,80.75
Dec-2012,81.14
Jan-2013,81.26
Feb-2013,80.89
Mar-2013,81.23
Apr-2013,82.66
May-2013,85.86
Jun-2013,88.38
Jul-2013,90.73
Aug-2013,92.56
Sep-2013,93.89
Oct-2013,94.77
Nov-2013,94.72
Dec-2013,94.6
Jan-2014,93.92
Feb-2014,93.42
Mar-2014,93.75
Apr-2014,94.81
May-2014,96.13
Jun-2014,97.3
Jul-2014,98.12
Aug-2014,98.72
Sep-2014,98.36
Oct-2014,98.24
Nov-2014,97.3
Dec-2014,96.91
Jan-2015,96.7
Feb-2015,97.09
Mar-2015,97.9
Apr-2015,99.44
May-2015,100.99
Jun-2015,102.66
Jul-2015,103.31
Aug-2015,103.73
Sep-2015,103.53
Oct-2015,103.2
Nov-2015,103.24
Dec-2015,103.38
Jan-2016,103.18
Feb-2016,103.17
Mar-2016,103.73
Apr-2016,105.02
May-2016,106.32
Jun-2016,107.89
Jul-2016,109.15
Aug-2016,109.86
Sep-2016,110.03
Oct-2016,110.03
Nov-2016,109.92
Dec-2016,109.66
Jan-2017,109.18
Feb-2017,109.57
Mar-2017,111.24
Apr-2017,113.21
May-2017,114.46
Jun-2017,116.3
Jul-2017,117.03
Aug-2017,117.7
Sep-2017,117.54
Oct-2017,117.79
Nov-2017,117.43
Dec-2017,117.28
Jan-2018,117.41
Feb-2018,118.65
Mar-2018,119.86
Apr-2018,121.58
May-2018,122.45
Jun-2018,123.65
Jul-2018,124.08
Aug-2018,124.72
Sep-2018,124.8
Oct-2018,124.58
Nov-2018,124.01
Dec-2018,123.39
Jan-2019,123.13
Feb-2019,123.22
Mar-2019,123.75
Apr-2019,125.79
May-2019,127.27
Jun-2019,128.9
Jul-2019,129.3
Aug-2019,129.44
