Date,GLD
2009-07-01,93.349998
2009-08-01,93.400002
2009-09-01,98.849998
2009-10-01,102.529999
2009-11-01,115.639999
2009-12-01,107.309998
2010-01-01,105.959999
2010-02-01,109.43
2010-03-01,108.949997
2010-04-01,115.360001
2010-05-01,118.879997
2010-06-01,121.68
2010-07-01,115.489998
2010-08-01,122.080002
2010-09-01,127.910004
2010-10-01,132.619995
2010-11-01,135.419998
2010-12-01,138.720001
2011-01-01,129.869995
2011-02-01,137.660004
2011-03-01,139.860001
2011-04-01,152.369995
2011-05-01,149.639999
2011-06-01,146
2011-07-01,158.289993
2011-08-01,177.720001
2011-09-01,158.059998
2011-10-01,167.339996
2011-11-01,170.130005
2011-12-01,151.990005
2012-01-01,169.309998
2012-02-01,164.289993
2012-03-01,162.119995
2012-04-01,161.880005
2012-05-01,151.619995
2012-06-01,155.190002
2012-07-01,156.490005
2012-08-01,164.220001
2012-09-01,171.889999
2012-10-01,166.830002
2012-11-01,166.050003
2012-12-01,162.020004
2013-01-01,161.199997
2013-02-01,153
2013-03-01,154.449997
2013-04-01,142.770004
2013-05-01,133.919998
2013-06-01,119.110001
2013-07-01,127.959999
2013-08-01,134.619995
2013-09-01,128.179993
2013-10-01,127.739998
2013-11-01,120.699997
2013-12-01,116.120003
2014-01-01,120.089996
2014-02-01,127.620003
2014-03-01,123.610001
2014-04-01,124.220001
2014-05-01,120.43
2014-06-01,128.039993
2014-07-01,123.389999
2014-08-01,123.860001
2014-09-01,116.209999
2014-10-01,112.660004
2014-11-01,112.110001
2014-12-01,113.580002
2015-01-01,123.449997
2015-02-01,116.160004
2015-03-01,113.660004
2015-04-01,113.470001
2015-05-01,114.099998
2015-06-01,112.370003
2015-07-01,104.93
2015-08-01,107.730003
2015-09-01,106.860001
2015-10-01,109.300003
2015-11-01,101.919998
2015-12-01,101.459999
2016-01-01,106.949997
2016-02-01,118.639999
2016-03-01,117.639999
2016-04-01,123.650002
2016-05-01,116.059998
2016-06-01,126.470001
2016-07-01,128.979996
2016-08-01,124.779999
2016-09-01,125.639999
2016-10-01,121.940002
2016-11-01,111.75
2016-12-01,109.610001
2017-01-01,115.550003
2017-02-01,119.230003
2017-03-01,118.720001
2017-04-01,120.769997
2017-05-01,120.620003
2017-06-01,118.019997
2017-07-01,120.75
2017-08-01,125.82
2017-09-01,121.580002
2017-10-01,120.669998
2017-11-01,121.099998
2017-12-01,123.650002
2018-01-01,127.650002
2018-02-01,125
2018-03-01,125.790001
2018-04-01,124.589996
2018-05-01,123.099998
2018-06-01,118.650002
2018-07-01,115.989998
2018-08-01,113.510002
2018-09-01,112.760002
2018-10-01,115.150002
2018-11-01,115.540001
2018-12-01,121.25
2019-01-01,124.75
2019-02-01,123.989998
2019-03-01,122.010002
2019-04-01,121.199997
2019-05-01,123.330002
2019-06-01,133.199997
2019-07-01,133.210007
2019-08-01,143.75
