Date,GLD
2004-11-01,45.120
2004-12-01,43.800
2005-01-01,42.220
2005-02-01,43.530
2005-03-01,42.820
2005-04-01,43.350
2005-05-01,41.650
2005-06-01,43.440
2005-07-01,42.820
2005-08-01,43.400
2005-09-01,46.700
2005-10-01,46.400
2005-11-01,49.100
2005-12-01,51.580
2006-01-01,56.700
2006-02-01,56.070
2006-03-01,58.100
2006-04-01,65.090
2006-05-01,64.230
2006-06-01,61.230
2006-07-01,63.160
2006-08-01,62.290
2006-09-01,59.470
2006-10-01,60.240
2006-11-01,64.390
2006-12-01,63.210
2007-01-01,64.830
2007-02-01,66.480
2007-03-01,65.740
2007-04-01,67.090
2007-05-01,65.540
2007-06-01,64.270
2007-07-01,65.790
2007-08-01,66.520
2007-09-01,73.510
2007-10-01,78.620
2007-11-01,77.320
2007-12-01,82.460
2008-01-01,91.400
2008-02-01,96.180
2008-03-01,90.410
2008-04-01,86.650
2008-05-01,87.450
2008-06-01,91.400
2008-07-01,90.080
2008-08-01,81.710
2008-09-01,85.070
2008-10-01,71.340
2008-11-01,80.310
2008-12-01,86.520
2009-01-01,91.310
2009-02-01,92.630
2009-03-01,90.280
2009-04-01,87.270
2009-05-01,96.200
2009-06-01,91.180
2009-07-01,93.350
2009-08-01,93.400
2009-09-01,98.850
2009-10-01,102.530
2009-11-01,115.640
2009-12-01,107.310
2010-01-01,105.960
2010-02-01,109.430
2010-03-01,108.950
2010-04-01,115.360
2010-05-01,118.880
2010-06-01,121.680
2010-07-01,115.490
2010-08-01,122.080
2010-09-01,127.910
2010-10-01,132.620
2010-11-01,135.420
2010-12-01,138.720
2011-01-01,129.870
2011-02-01,137.660
2011-03-01,139.860
2011-04-01,152.370
2011-05-01,149.640
2011-06-01,146.000
2011-07-01,158.290
2011-08-01,177.720
2011-09-01,158.060
2011-10-01,167.340
2011-11-01,170.130
2011-12-01,151.990
2012-01-01,169.310
2012-02-01,164.290
2012-03-01,162.120
2012-04-01,161.880
2012-05-01,151.620
2012-06-01,155.190
2012-07-01,156.490
2012-08-01,164.220
2012-09-01,171.890
2012-10-01,166.830
2012-11-01,166.050
2012-12-01,162.020
2013-01-01,161.200
2013-02-01,153.000
2013-03-01,154.450
2013-04-01,142.770
2013-05-01,133.920
2013-06-01,119.110
2013-07-01,127.960
2013-08-01,134.620
2013-09-01,128.180
2013-10-01,127.740
2013-11-01,120.700
2013-12-01,116.120
2014-01-01,120.090
2014-02-01,127.620
2014-03-01,123.610
2014-04-01,124.220
2014-05-01,120.430
2014-06-01,128.040
2014-07-01,123.390
2014-08-01,123.860
2014-09-01,116.210
2014-10-01,112.660
2014-11-01,112.110
2014-12-01,113.580
2015-01-01,123.450
2015-02-01,116.160
2015-03-01,113.660
2015-04-01,113.470
2015-05-01,114.100
2015-06-01,112.370
2015-07-01,104.930
2015-08-01,107.730
2015-09-01,106.860
2015-10-01,109.300
2015-11-01,101.920
2015-12-01,101.460
2016-01-01,106.950
2016-02-01,118.640
2016-03-01,117.640
2016-04-01,123.650
2016-05-01,116.060
2016-06-01,126.470
2016-07-01,128.980
2016-08-01,124.780
2016-09-01,125.640
2016-10-01,121.940
2016-11-01,111.750
2016-12-01,109.610
2017-01-01,115.550
2017-02-01,119.230
2017-03-01,118.720
2017-04-01,120.770
2017-05-01,120.620
2017-06-01,118.020
2017-07-01,120.750
2017-08-01,125.820
2017-09-01,121.580
2017-10-01,120.670
2017-11-01,121.100
2017-12-01,123.650
2018-01-01,127.650
2018-02-01,125.000
2018-03-01,125.790
2018-04-01,124.590
2018-05-01,123.100
2018-06-01,118.650
2018-07-01,115.990
2018-08-01,113.510
2018-09-01,112.760
2018-10-01,115.150
2018-11-01,115.540
2018-12-01,121.250
2019-01-01,124.750
2019-02-01,123.990
2019-03-01,122.010
2019-04-01,121.200
2019-05-01,123.330
2019-06-01,133.200
2019-07-01,133.210
2019-08-01,143.750
2019-09-01,138.870
2019-10-01,142.430
2019-11-01,137.740
