Effective date,MIN
Jul-2009,119.36
Aug-2009,122.98
Sep-2009,125.24
Oct-2009,124.8
Nov-2009,124.31
Dec-2009,123.64
Jan-2010,122.56
Feb-2010,119.85
Mar-2010,117.24
Apr-2010,119.35
May-2010,122.7
Jun-2010,125.92
Jul-2010,126.79
Aug-2010,126.37
Sep-2010,123.75
Oct-2010,121.5
Nov-2010,119.18
Dec-2010,117.39
Jan-2011,113.46
Feb-2011,109.74
Mar-2011,105.77
Apr-2011,105.9
May-2011,108.51
Jun-2011,112.44
Jul-2011,115.75
Aug-2011,116.02
Sep-2011,115.84
Oct-2011,114.44
Nov-2011,113.78
Dec-2011,112.36
Jan-2012,111.47
Feb-2012,110.59
Mar-2012,109.5
Apr-2012,110.45
May-2012,113.53
Jun-2012,118.85
Jul-2012,123.23
Aug-2012,124.6
Sep-2012,125.72
Oct-2012,124.94
Nov-2012,125.87
Dec-2012,125.96
Jan-2013,125.49
Feb-2013,124.54
Mar-2013,123.2
Apr-2013,126.81
May-2013,129.53
Jun-2013,132.45
Jul-2013,134.83
Aug-2013,137.17
Sep-2013,138.32
Oct-2013,139.11
Nov-2013,139.07
Dec-2013,138.14
Jan-2014,137.23
Feb-2014,135.96
Mar-2014,137.23
Apr-2014,138.37
May-2014,140.24
Jun-2014,141.24
Jul-2014,142.1
Aug-2014,142.54
Sep-2014,142.4
Oct-2014,141.88
Nov-2014,140.92
Dec-2014,140.37
Jan-2015,139.84
Feb-2015,139.92
Mar-2015,141.12
Apr-2015,142.69
May-2015,144.37
Jun-2015,146.03
Jul-2015,147.06
Aug-2015,147.42
Sep-2015,147.58
Oct-2015,147.38
Nov-2015,147.38
Dec-2015,146.86
Jan-2016,146.08
Feb-2016,145.4
Mar-2016,146.68
Apr-2016,149.48
May-2016,151.71
Jun-2016,153.35
Jul-2016,154.29
Aug-2016,154.98
Sep-2016,155.34
Oct-2016,155.34
Nov-2016,155.21
Dec-2016,154.81
Jan-2017,154.03
Feb-2017,154.57
Mar-2017,156.77
Apr-2017,158.89
May-2017,160.75
Jun-2017,162.38
Jul-2017,163.56
Aug-2017,163.93
Sep-2017,163.86
Oct-2017,163.66
Nov-2017,163.57
Dec-2017,163.02
Jan-2018,163.06
Feb-2018,163.6
Mar-2018,166.35
Apr-2018,169.25
May-2018,171
Jun-2018,172.54
Jul-2018,173.26
Aug-2018,173.77
Sep-2018,173.59
Oct-2018,173.24
Nov-2018,172.86
Dec-2018,171.99
Jan-2019,171.42
Feb-2019,170.81
Mar-2019,172.61
Apr-2019,174.22
May-2019,177.11
Jun-2019,179.06
Jul-2019,180.29
Aug-2019,180.6
