Date,N225
2004-11-01,10899.25
2004-12-01,11488.76
2005-01-01,11387.59
2005-02-01,11740.60
2005-03-01,11668.95
2005-04-01,11008.90
2005-05-01,11276.59
2005-06-01,11584.01
2005-07-01,11899.60
2005-08-01,12413.60
2005-09-01,13574.30
2005-10-01,13606.50
2005-11-01,14872.15
2005-12-01,16111.43
2006-01-01,16649.82
2006-02-01,16205.43
2006-03-01,17059.66
2006-04-01,16906.23
2006-05-01,15467.33
2006-06-01,15505.18
2006-07-01,15456.81
2006-08-01,16140.76
2006-09-01,16127.58
2006-10-01,16399.39
2006-11-01,16274.33
2006-12-01,17225.83
2007-01-01,17383.42
2007-02-01,17604.12
2007-03-01,17287.65
2007-04-01,17400.41
2007-05-01,17875.75
2007-06-01,18138.36
2007-07-01,17248.89
2007-08-01,16569.09
2007-09-01,16785.69
2007-10-01,16737.63
2007-11-01,15680.67
2007-12-01,15307.78
2008-01-01,13592.47
2008-02-01,13603.02
2008-03-01,12525.54
2008-04-01,13849.99
2008-05-01,14338.54
2008-06-01,13481.38
2008-07-01,13376.81
2008-08-01,13072.87
2008-09-01,11259.86
2008-10-01,8576.98
2008-11-01,8512.27
2008-12-01,8859.56
2009-01-01,7994.05
2009-02-01,7568.42
2009-03-01,8109.53
2009-04-01,8828.26
2009-05-01,9522.50
2009-06-01,9958.44
2009-07-01,10356.83
2009-08-01,10492.53
2009-09-01,10133.23
2009-10-01,10034.74
2009-11-01,9345.55
2009-12-01,10546.44
2010-01-01,10198.04
2010-02-01,10126.03
2010-03-01,11089.94
2010-04-01,11057.40
2010-05-01,9768.70
2010-06-01,9382.64
2010-07-01,9537.30
2010-08-01,8824.06
2010-09-01,9369.35
2010-10-01,9202.45
2010-11-01,9937.04
2010-12-01,10228.92
2011-01-01,10237.92
2011-02-01,10624.09
2011-03-01,9755.10
2011-04-01,9849.74
2011-05-01,9693.73
2011-06-01,9816.09
2011-07-01,9833.03
2011-08-01,8955.20
2011-09-01,8700.29
2011-10-01,8988.39
2011-11-01,8434.61
2011-12-01,8455.35
2012-01-01,8802.51
2012-02-01,9723.24
2012-03-01,10083.56
2012-04-01,9520.89
2012-05-01,8542.73
2012-06-01,9006.78
2012-07-01,8695.06
2012-08-01,8839.91
2012-09-01,8870.16
2012-10-01,8928.29
2012-11-01,9446.01
2012-12-01,10395.18
2013-01-01,11138.66
2013-02-01,11559.36
2013-03-01,12397.91
2013-04-01,13860.86
2013-05-01,13774.54
2013-06-01,13677.32
2013-07-01,13668.32
2013-08-01,13388.86
2013-09-01,14455.80
2013-10-01,14327.94
2013-11-01,15661.87
2013-12-01,16291.31
2014-01-01,14914.53
2014-02-01,14841.07
2014-03-01,14827.83
2014-04-01,14304.11
2014-05-01,14632.38
2014-06-01,15162.10
2014-07-01,15620.77
2014-08-01,15424.59
2014-09-01,16173.52
2014-10-01,16413.76
2014-11-01,17459.85
2014-12-01,17450.77
2015-01-01,17674.39
2015-02-01,18797.94
2015-03-01,19206.99
2015-04-01,19520.01
2015-05-01,20563.15
2015-06-01,20235.73
2015-07-01,20585.24
2015-08-01,18890.48
2015-09-01,17388.15
2015-10-01,19083.10
2015-11-01,19747.47
2015-12-01,19033.71
2016-01-01,17518.30
2016-02-01,16026.76
2016-03-01,16758.67
2016-04-01,16666.05
2016-05-01,17234.98
2016-06-01,15575.92
2016-07-01,16569.27
2016-08-01,16887.40
2016-09-01,16449.84
2016-10-01,17425.02
2016-11-01,18308.48
2016-12-01,19114.37
2017-01-01,19041.34
2017-02-01,19118.99
2017-03-01,18909.26
2017-04-01,19196.74
2017-05-01,19650.57
2017-06-01,20033.43
2017-07-01,19925.18
2017-08-01,19646.24
2017-09-01,20356.28
2017-10-01,22011.61
2017-11-01,22724.96
2017-12-01,22764.94
2018-01-01,23098.29
2018-02-01,22068.24
2018-03-01,21454.30
2018-04-01,22467.87
2018-05-01,22201.82
2018-06-01,22304.51
2018-07-01,22553.72
2018-08-01,22865.15
2018-09-01,24120.04
2018-10-01,21920.46
2018-11-01,22351.06
2018-12-01,20014.77
2019-01-01,20773.49
2019-02-01,21385.16
2019-03-01,21205.81
2019-04-01,22258.73
2019-05-01,20601.19
2019-06-01,21275.92
2019-07-01,21521.53
2019-08-01,20704.37
2019-09-01,21755.84
2019-10-01,22927.04
2019-11-01,23112.88
2019-11-25,23292.81
