Date,NAT
Jul-2009,150.75
Aug-2009,150.67
Sep-2009,149.63
Oct-2009,148.59
Nov-2009,147.95
Dec-2009,146.67
Jan-2010,145
Feb-2010,143.06
Mar-2010,143.6
Apr-2010,145.4
May-2010,147.03
Jun-2010,147.7
Jul-2010,147.55
Aug-2010,146.42
Sep-2010,144.6
Oct-2010,143.13
Nov-2010,141.82
Dec-2010,140.64
Jan-2011,139.05
Feb-2011,137.74
Mar-2011,137.79
Apr-2011,139.16
May-2011,140.68
Jun-2011,141.94
Jul-2011,142.33
Aug-2011,141.78
Sep-2011,140.16
Oct-2011,138.4
Nov-2011,136.65
Dec-2011,135.16
Jan-2012,134.16
Feb-2012,134
Mar-2012,135.87
Apr-2012,138.48
May-2012,141.05
Jun-2012,143.17
Jul-2012,144.28
Aug-2012,144.7
Sep-2012,144.36
Oct-2012,143.97
Nov-2012,143.97
Dec-2012,143.88
Jan-2013,144.31
Feb-2013,145.16
Mar-2013,147.96
Apr-2013,150.97
May-2013,153.87
Jun-2013,156.44
Jul-2013,158.3
Aug-2013,159.41
Sep-2013,159.69
Oct-2013,159.57
Nov-2013,159.37
Dec-2013,159.29
Jan-2014,159.39
Feb-2014,159.9
Mar-2014,161.22
Apr-2014,162.99
May-2014,164.71
Jun-2014,166.23
Jul-2014,167.15
Aug-2014,167.46
Sep-2014,167.26
Oct-2014,166.93
Nov-2014,166.68
Dec-2014,166.49
Jan-2015,166.29
Feb-2015,166.68
Mar-2015,168.13
Apr-2015,170.01
May-2015,171.88
Jun-2015,173.48
Jul-2015,174.53
Aug-2015,174.97
Sep-2015,175.09
Oct-2015,175.1
Nov-2015,175.2
Dec-2015,175.18
Jan-2016,175.1
Feb-2016,175.33
Mar-2016,176.65
Apr-2016,178.53
May-2016,180.38
Jun-2016,181.97
Jul-2016,183.09
Aug-2016,183.74
Sep-2016,184.04
Oct-2016,184.12
Nov-2016,184.34
Dec-2016,184.52
Jan-2017,184.77
Feb-2017,185.14
Mar-2017,186.64
Apr-2017,188.65
May-2017,190.65
Jun-2017,192.4
Jul-2017,193.66
Aug-2017,194.5
Sep-2017,194.97
Oct-2017,195.24
Nov-2017,195.61
Dec-2017,196.02
Jan-2018,196.29
Feb-2018,197.08
Mar-2018,198.76
Apr-2018,200.8
May-2018,202.66
Jun-2018,204.27
Jul-2018,205.18
Aug-2018,205.55
Sep-2018,205.6
Oct-2018,205.59
Nov-2018,205.34
Dec-2018,204.94
Jan-2019,204.46
Feb-2019,204.72
Mar-2019,206.06
Apr-2019,207.96
May-2019,209.65
Jun-2019,210.87
Jul-2019,211.63
Aug-2019,212.06
