Date,NYC
Jul-2009,173.91
Aug-2009,175.13
Sep-2009,174.81
Oct-2009,174.42
Nov-2009,172.65
Dec-2009,171.85
Jan-2010,171.39
Feb-2010,170.56
Mar-2010,169.26
Apr-2010,168.89
May-2010,170.47
Jun-2010,172.85
Jul-2010,175.02
Aug-2010,175.18
Sep-2010,174.43
Oct-2010,171.5
Nov-2010,169.53
Dec-2010,167.92
Jan-2011,165.92
Feb-2011,164.45
Mar-2011,162.34
Apr-2011,163.92
May-2011,165.09
Jun-2011,166.82
Jul-2011,169.54
Aug-2011,170.2
Sep-2011,169.96
Oct-2011,167.33
Nov-2011,164.86
Dec-2011,162.41
Jan-2012,160.63
Feb-2012,158.87
Mar-2012,157.4
Apr-2012,157.95
May-2012,160.18
Jun-2012,163.27
Jul-2012,165.17
Aug-2012,166.41
Sep-2012,166.3
Oct-2012,165.16
Nov-2012,162.88
Dec-2012,161.96
Jan-2013,161.23
Feb-2013,161.46
Mar-2013,160.25
Apr-2013,161.97
May-2013,164.64
Jun-2013,167.96
Jul-2013,170.47
Aug-2013,172.29
Sep-2013,173.23
Oct-2013,173.29
Nov-2013,172.72
Dec-2013,171.96
Jan-2014,171.97
Feb-2014,171.29
Mar-2014,170.61
Apr-2014,170.8
May-2014,172.29
Jun-2014,175.08
Jul-2014,177.02
Aug-2014,177.88
Sep-2014,177.43
Oct-2014,176.41
Nov-2014,174.78
Dec-2014,174.71
Jan-2015,174.77
Feb-2015,174.8
Mar-2015,174.36
Apr-2015,175.62
May-2015,177.23
Jun-2015,179.43
Jul-2015,180.76
Aug-2015,181.61
Sep-2015,181.51
Oct-2015,180.99
Nov-2015,180.42
Dec-2015,179.76
Jan-2016,179.41
Feb-2016,178.97
Mar-2016,179.47
Apr-2016,180.53
May-2016,181.4
Jun-2016,183.3
Jul-2016,184.7
Aug-2016,185.57
Sep-2016,185.45
Oct-2016,184.87
Nov-2016,185.19
Dec-2016,185.26
Jan-2017,186.24
Feb-2017,185.98
Mar-2017,187.32
Apr-2017,188.33
May-2017,189.22
Jun-2017,190.27
Jul-2017,191.83
Aug-2017,193.32
Sep-2017,194.69
Oct-2017,195.38
Nov-2017,195.53
Dec-2017,195.55
Jan-2018,196.01
Feb-2018,196.73
Mar-2018,197.02
Apr-2018,196.77
May-2018,197.25
Jun-2018,198.03
Jul-2018,198.73
Aug-2018,199.49
Sep-2018,200.31
Oct-2018,201
Nov-2018,201.17
Dec-2018,201.2
Jan-2019,201.1
Feb-2019,200.84
Mar-2019,200.4
Apr-2019,200.53
May-2019,200.78
Jun-2019,200.77
Jul-2019,201.05
Aug-2019,201.29
