Date,POR
Jul-2009,150.06
Aug-2009,150.46
Sep-2009,149.72
Oct-2009,149.88
Nov-2009,150.38
Dec-2009,149.95
Jan-2010,147.29
Feb-2010,143.69
Mar-2010,143.61
Apr-2010,146.25
May-2010,147.98
Jun-2010,148.73
Jul-2010,148.33
Aug-2010,147.02
Sep-2010,144.3
Oct-2010,142.16
Nov-2010,139.92
Dec-2010,138.23
Jan-2011,135.8
Feb-2011,133.66
Mar-2011,132.67
Apr-2011,132.84
May-2011,134.5
Jun-2011,134.52
Jul-2011,135.8
Aug-2011,135.91
Sep-2011,136.1
Oct-2011,135.44
Nov-2011,133.26
Dec-2011,132.76
Jan-2012,129.96
Feb-2012,129.6
Mar-2012,129.01
Apr-2012,131.62
May-2012,135.09
Jun-2012,138.51
Jul-2012,140.12
Aug-2012,140.8
Sep-2012,141.1
Oct-2012,142.44
Nov-2012,142.13
Dec-2012,141.29
Jan-2013,140.74
Feb-2013,141.76
Mar-2013,145.52
Apr-2013,148.62
May-2013,151.91
Jun-2013,154.8
Jul-2013,157.26
Aug-2013,159.13
Sep-2013,160.18
Oct-2013,160.46
Nov-2013,159.92
Dec-2013,159.84
Jan-2014,159.31
Feb-2014,160.61
Mar-2014,162.65
Apr-2014,165.25
May-2014,167.1
Jun-2014,168.95
Jul-2014,170.06
Aug-2014,170.57
Sep-2014,170.76
Oct-2014,170.32
Nov-2014,170.47
Dec-2014,170.69
Jan-2015,170.73
Feb-2015,171.9
Mar-2015,173.88
Apr-2015,176.89
May-2015,179.42
Jun-2015,182.18
Jul-2015,184.58
Aug-2015,186.51
Sep-2015,187.98
Oct-2015,188.85
Nov-2015,189.41
Dec-2015,190.11
Jan-2016,190.93
Feb-2016,192.34
Mar-2016,195.21
Apr-2016,198.63
May-2016,201.85
Jun-2016,205.02
Jul-2016,207.28
Aug-2016,208.23
Sep-2016,208.39
Oct-2016,208.22
Nov-2016,208.52
Dec-2016,209.1
Jan-2017,209.35
Feb-2017,210.95
Mar-2017,213.05
Apr-2017,217
May-2017,219.66
Jun-2017,221.53
Jul-2017,222.83
Aug-2017,223.18
Sep-2017,223.57
Oct-2017,222.91
Nov-2017,222.88
Dec-2017,223.2
Jan-2018,224.13
Feb-2018,225
Mar-2018,227.3
Apr-2018,229.76
May-2018,232.51
Jun-2018,234.18
Jul-2018,235.37
Aug-2018,235.09
Sep-2018,234.9
Oct-2018,233.63
Nov-2018,232.61
Dec-2018,231.94
Jan-2019,231.42
Feb-2019,231.49
Mar-2019,233.08
Apr-2019,235.69
May-2019,238.12
Jun-2019,239.67
Jul-2019,241.23
Aug-2019,241.17
