month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
201910,rhode island,ri,367450.0,-0.0054,0.05,3662,-0.0169,-0.1717,52.0,-0.0189,-0.0631,1448,-0.1502,-0.1171,12,-0.4,-0.5714,1020,-0.0449,-0.2202,3203,-0.0071,-0.0476,219.3918293772333,-7.0E-4,0.0438,1652.0,-0.0036,0.0129,604158.0,0.0076,0.0751
201910,new jersey,nj,390049.5,0.0014,0.0835,47062,-0.0425,-0.078,58.0,-0.0866,-0.1212,13668,-0.1744,-0.0934,368,0.0824,-0.2868,11696,-0.0741,-0.1423,19552,-0.1932,-0.194,79.56249999999999,0.2807,0.56,895.0,0.0968,0.1187,557075.0,0.0095,0.0469
201910,wisconsin,wi,246050.0,-0.0059,0.0606,22153,-0.0561,-0.0572,68.5,0.0379,-0.0867,6364,-0.1465,0.046,88,-0.2143,-0.3889,5748,-0.1036,-0.0178,14619,-0.7071,-0.4455,129.40624999999997,-0.009,0.046,1790.5,-0.0058,0.009,321017.0,-0.008,0.031
201910,alabama,al,235050.0,-0.0048,0.0934,22243,-0.0106,-0.129,78.0,0.0,-0.1333,5692,-0.0925,0.0402,596,0.5521,0.1462,4760,-0.0302,-0.06,9674,-7.0E-4,0.3189,108.43449705517668,0.0034,0.0784,1992.0,-0.0013,0.0176,307264.0,-0.0141,0.0766
201910,missouri,mo,200050.0,-0.0148,0.0285,24245,0.0033,-0.1091,66.0,-0.0149,-0.0897,7992,-0.0513,0.004,252,0.0328,0.125,6844,-0.0355,-0.0913,32620,-0.1063,0.0052,108.72282608695652,-1.0E-4,0.0757,1775.5,0.0025,0.0341,278045.0,-0.0108,0.0341
201910,minnesota,mn,280000.0,-0.0174,0.018,23255,-0.0423,0.0615,57.0,0.0755,-0.0579,7812,-0.1993,0.1509,168,-0.1429,0.0769,7032,-0.1044,0.0987,14693,-0.0738,-0.4774,143.82812499999997,0.0047,0.0437,1975.0,-0.0088,-0.0436,365734.0,-0.0014,-0.0038
201910,arkansas,ar,192550.0,0.0132,0.0408,14308,-0.0269,-0.154,82.5,0.0185,-0.0462,3460,-0.0526,-0.0598,104,0.2381,-0.1613,2676,-0.0669,-0.1401,12080,-0.0073,0.0201,96.43025855365474,0.0098,0.0477,1907.5,-0.0016,0.0597,264882.0,0.0076,0.056
201910,iowa,ia,200050.0,-0.0338,5.0E-4,15325,-0.0045,0.07,71.5,0.0438,0.0,4144,-0.0807,0.0814,288,0.0909,0.9459,4964,-0.004,0.4617,18412,-0.0097,0.1189,122.12232620320856,-0.0055,0.0413,1621.0,-0.0046,-0.0182,244969.99999999997,-0.0136,0.0176
201910,wyoming,wy,263771.5,-0.0039,0.0517,3448,-0.0641,-0.1434,87.0,0.0875,-0.0745,692,-0.1878,-0.0598,20,0.0,-0.375,560,-0.1667,-0.0278,5431,0.0148,0.2746,123.00629498511242,-0.0036,0.0566,2133.5,-0.0063,-0.0123,667579.0,0.0373,0.2699
201910,georgia,ga,294000.0,2.0E-4,0.0317,71852,-0.0333,-0.0032,63.0,0.008,-0.0308,24112,-0.0693,0.0143,2412,0.1641,-0.0398,21916,-0.0531,0.0676,43420,-0.0051,-0.0743,110.77232142857142,0.0204,0.0819,2048.5,0.0237,0.0154,394910.0,0.0047,0.014
201910,indiana,in,199950.0,0.0,0.0929,20424,-0.11,-0.1175,56.5,0.0089,-0.0504,7804,-0.0836,-0.0575,236,0.2292,0.0172,7844,-0.0411,-0.0568,23958,-0.6057,0.4852,96.47757926491661,0.0,0.0644,1996.0,0.0053,0.0252,264838.0,7.0E-4,0.057
201910,new mexico,nm,260000.0,2.0E-4,0.0832,8132,-0.0231,-0.1661,79.5,0.0127,-0.0914,2236,-0.0193,-0.0379,108,0.1739,0.08,1828,-0.0558,-0.1004,5412,-0.0622,0.1256,130.49941588785046,0.0055,0.073,1966.5,0.0031,0.0181,389637.0,0.0026,0.0407
201910,arizona,az,359950.0,5.0E-4,0.1074,22299,0.0314,-0.1632,53.0,-0.0783,-0.0364,10308,0.0437,-0.0348,712,-0.3407,-0.2124,9052,0.0438,-0.2284,102090,-0.028,0.7452,176.05234732915818,0.0061,0.0709,2123.0,-0.0056,0.0291,558808.0,0.0124,0.1155
201910,alaska,ak,289425.0,-0.0022,0.0372,3324,-0.0689,-0.0938,82.0,0.0861,-0.0734,684,-0.1857,-0.0707,28,-0.125,0.0,920,-0.1844,-0.1221,107,,,164.85720859336803,0.0011,-7.0E-4,1772.0,-0.0017,0.0255,326465.0,-0.0071,0.0181
201910,michigan,mi,215089.99999999997,-0.0212,0.0757,43164,-0.0414,-0.0159,59.5,0.0439,-0.0775,14220,-0.1211,0.0077,384,-0.04,-0.1351,13272,-0.089,0.0263,21403,-0.4242,-0.2816,124.68269230769229,-0.0027,0.0544,1684.0,-0.008,0.0066,302346.0,-0.0151,0.0238
201910,north carolina,nc,312198.0,-0.0087,0.0877,44978,-0.0168,-0.1285,78.0,0.0065,-0.1658,13808,0.0049,0.0794,1016,0.0672,-0.1088,12852,-0.0258,0.0165,52042,-0.1132,0.0467,132.2556600517268,0.0091,0.0628,1980.5,0.0013,-0.0318,415243.99999999994,-0.0046,0.0841
201910,connecticut,ct,359950.0,0.0039,0.0286,22102,-0.0238,-0.1037,77.0,-0.0128,-0.0994,4636,-0.1855,-0.0228,84,-0.475,-0.4615,5224,-0.1276,-0.0665,933,-0.0053,1.5492,169.61653413594925,0.0024,-0.0391,2108.5,0.0089,0.101,722921.0,0.0113,0.002
