Date,SFC
Jul-2009,128.86
Aug-2009,132.47
Sep-2009,134.16
Oct-2009,135.81
Nov-2009,136.63
Dec-2009,136.4
Jan-2010,135.63
Feb-2010,134.67
Mar-2010,136.74
Apr-2010,139.77
May-2010,142.16
Jun-2010,142.55
Jul-2010,143.23
Aug-2010,142.83
Sep-2010,141.54
Oct-2010,138.84
Nov-2010,137.28
Dec-2010,136.02
Jan-2011,133.37
Feb-2011,129.96
Mar-2011,129.83
Apr-2011,132.02
May-2011,134.42
Jun-2011,134.9
Jul-2011,135.28
Aug-2011,135.2
Sep-2011,133.22
Oct-2011,132.34
Nov-2011,129.78
Dec-2011,128.72
Jan-2012,125.47
Feb-2012,124.64
Mar-2012,125.94
Apr-2012,130.23
May-2012,135.28
Jun-2012,139.01
Jul-2012,141.71
Aug-2012,142.37
Sep-2012,143.15
Oct-2012,144.15
Nov-2012,146.23
Dec-2012,147.24
Jan-2013,147.45
Feb-2013,148.23
Mar-2013,153.96
Apr-2013,161.46
May-2013,168.41
Jun-2013,173.01
Jul-2013,176.87
Aug-2013,178.53
Sep-2013,179.91
Oct-2013,179.55
Nov-2013,180.19
Dec-2013,180.55
Jan-2014,181.52
Feb-2014,181.91
Mar-2014,186.69
Apr-2014,191.2
May-2014,194.73
Jun-2014,195.91
Jul-2014,195.49
Aug-2014,194.58
Sep-2014,194.66
Oct-2014,196.33
Nov-2014,196.67
Dec-2014,197.48
Jan-2015,195.73
Feb-2015,200.18
Mar-2015,206.28
Apr-2015,210.86
May-2015,213.67
Jun-2015,214.61
Jul-2015,215.47
Aug-2015,215.12
Sep-2015,216.26
Oct-2015,217.76
Nov-2015,218.35
Dec-2015,217.91
Jan-2016,216.49
Feb-2016,218.78
Mar-2016,223.87
Apr-2016,227.34
May-2016,227.49
Jun-2016,228.46
Jul-2016,228.52
Aug-2016,229.44
Sep-2016,228.54
Oct-2016,229.98
Nov-2016,230.2
Dec-2016,231.14
Jan-2017,230.2
Feb-2017,232.73
Mar-2017,235.14
Apr-2017,238.37
May-2017,240.89
Jun-2017,242.53
Jul-2017,243.79
Aug-2017,243.45
Sep-2017,244.89
Oct-2017,247.68
Nov-2017,251.21
Dec-2017,252.63
Jan-2018,253.59
Feb-2018,256.16
Mar-2018,261.55
Apr-2018,264.19
May-2018,267.02
Jun-2018,268.29
Jul-2018,269.8
Aug-2018,268.97
Sep-2018,269.1
Oct-2018,267.2
Nov-2018,265.23
Dec-2018,261.3
Jan-2019,257.88
Feb-2019,259.38
Mar-2019,264.56
Apr-2019,268.79
May-2019,269.55
Jun-2019,270.18
Jul-2019,270.08
Aug-2019,268.81
