Date,SEA
Jul-2009,149.44
Aug-2009,149.54
Sep-2009,148.94
Oct-2009,149.26
Nov-2009,148.56
Dec-2009,147.54
Jan-2010,145.09
Feb-2010,143.56
Mar-2010,143.72
Apr-2010,145.14
May-2010,146.82
Jun-2010,146.83
Jul-2010,147.04
Aug-2010,145.93
Sep-2010,145.07
Oct-2010,143.13
Nov-2010,141.57
Dec-2010,138.7
Jan-2011,135.41
Feb-2011,132.85
Mar-2011,132.97
Apr-2011,135.14
May-2011,136.56
Jun-2011,137.46
Jul-2011,137.57
Aug-2011,137.09
Sep-2011,135.59
Oct-2011,134.22
Nov-2011,132.65
Dec-2011,130.99
Jan-2012,130.03
Feb-2012,128.99
Mar-2012,131.23
Apr-2012,133.84
May-2012,137.37
Jun-2012,139.89
Jul-2012,141.78
Aug-2012,141.69
Sep-2012,142.09
Oct-2012,141.82
Nov-2012,142.53
Dec-2012,141.75
Jan-2013,141.3
Feb-2013,140.97
Mar-2013,145.2
Apr-2013,149.05
May-2013,153.74
Jun-2013,156.46
Jul-2013,159.5
Aug-2013,160.36
Sep-2013,160.87
Oct-2013,160.39
Nov-2013,160.17
Dec-2013,159.32
Jan-2014,158.09
Feb-2014,159.05
Mar-2014,162.05
Apr-2014,165.72
May-2014,168.1
Jun-2014,169.94
Jul-2014,170.87
Aug-2014,170.85
Sep-2014,170.31
Oct-2014,170.22
Nov-2014,169.66
Dec-2014,169.75
Jan-2015,168.83
Feb-2015,170.28
Mar-2015,174.12
Apr-2015,178.04
May-2015,180.54
Jun-2015,182.43
Jul-2015,183.2
Aug-2015,183.83
Sep-2015,184.26
Oct-2015,185.16
Nov-2015,185.96
Dec-2015,186.27
Jan-2016,186.49
Feb-2016,188.53
Mar-2016,193.02
Apr-2016,197.01
May-2016,199.82
Jun-2016,202.55
Jul-2016,203.7
Aug-2016,204.55
Sep-2016,204.55
Oct-2016,204.81
Nov-2016,205.13
Dec-2016,206.28
Jan-2017,207.5
Feb-2017,211.32
Mar-2017,216.81
Apr-2017,222.48
May-2017,226.43
Jun-2017,229.64
Jul-2017,231.15
Aug-2017,231.57
Sep-2017,230.93
Oct-2017,230.77
Nov-2017,231.19
Dec-2017,232.51
Jan-2018,234.14
Feb-2018,238.22
Mar-2018,244.98
Apr-2018,251.57
May-2018,257.16
Jun-2018,258.96
Jul-2018,257.78
Aug-2018,253.67
Sep-2018,250.24
Oct-2018,247.64
Nov-2018,245.81
Dec-2018,244.28
Jan-2019,243.61
Feb-2019,244.98
Mar-2019,249.01
Apr-2019,251.65
May-2019,254.12
Jun-2019,255.53
Jul-2019,256.1
Aug-2019,255.35
