Date,TNX
2009-07-01,3.501
2009-08-01,3.401
2009-09-01,3.307
2009-10-01,3.392
2009-11-01,3.201
2009-12-01,3.843
2010-01-01,3.609
2010-02-01,3.595
2010-03-01,3.833
2010-04-01,3.663
2010-05-01,3.301
2010-06-01,2.951
2010-07-01,2.907
2010-08-01,2.477
2010-09-01,2.517
2010-10-01,2.612
2010-11-01,2.797
2010-12-01,3.305
2011-01-01,3.378
2011-02-01,3.414
2011-03-01,3.454
2011-04-01,3.296
2011-05-01,3.05
2011-06-01,3.158
2011-07-01,2.805
2011-08-01,2.218
2011-09-01,1.924
2011-10-01,2.175
2011-11-01,2.068
2011-12-01,1.871
2012-01-01,1.799
2012-02-01,1.977
2012-03-01,2.216
2012-04-01,1.915
2012-05-01,1.581
2012-06-01,1.659
2012-07-01,1.492
2012-08-01,1.562
2012-09-01,1.637
2012-10-01,1.686
2012-11-01,1.606
2012-12-01,1.756
2013-01-01,1.985
2013-02-01,1.888
2013-03-01,1.852
2013-04-01,1.675
2013-05-01,2.164
2013-06-01,2.478
2013-07-01,2.593
2013-08-01,2.749
2013-09-01,2.615
2013-10-01,2.542
2013-11-01,2.741
2013-12-01,3.026
2014-01-01,2.668
2014-02-01,2.658
2014-03-01,2.723
2014-04-01,2.648
2014-05-01,2.457
2014-06-01,2.516
2014-07-01,2.556
2014-08-01,2.343
2014-09-01,2.508
2014-10-01,2.335
2014-11-01,2.194
2014-12-01,2.17
2015-01-01,1.675
2015-02-01,2.002
2015-03-01,1.934
2015-04-01,2.046
2015-05-01,2.095
2015-06-01,2.335
2015-07-01,2.205
2015-08-01,2.2
2015-09-01,2.06
2015-10-01,2.151
2015-11-01,2.218
2015-12-01,2.269
2016-01-01,1.931
2016-02-01,1.74
2016-03-01,1.786
2016-04-01,1.819
2016-05-01,1.834
2016-06-01,1.488
2016-07-01,1.458
2016-08-01,1.568
2016-09-01,1.608
2016-10-01,1.834
2016-11-01,2.368
2016-12-01,2.479
2017-01-01,2.451
2017-02-01,2.358
2017-03-01,2.396
2017-04-01,2.282
2017-05-01,2.196
2017-06-01,2.302
2017-07-01,2.292
2017-08-01,2.121
2017-09-01,2.326
2017-10-01,2.376
2017-11-01,2.417
2017-12-01,2.405
2018-01-01,2.72
2018-02-01,2.868
2018-03-01,2.741
2018-04-01,2.936
2018-05-01,2.822
2018-06-01,2.849
2018-07-01,2.964
2018-08-01,2.853
2018-09-01,3.056
2018-10-01,3.159
2018-11-01,3.013
2018-12-01,2.686
2019-01-01,2.635
2019-02-01,2.711
2019-03-01,2.414
2019-04-01,2.509
2019-05-01,2.142
2019-06-01,2
2019-07-01,2.021
2019-08-01,1.506
