Date,TAM
Jul-2009,142.84
Aug-2009,143.43
Sep-2009,142.57
Oct-2009,140.27
Nov-2009,139.66
Dec-2009,138.85
Jan-2010,138.18
Feb-2010,136.54
Mar-2010,136.46
Apr-2010,137.09
May-2010,138.29
Jun-2010,138.58
Jul-2010,138.24
Aug-2010,137.53
Sep-2010,136.5
Oct-2010,134.92
Nov-2010,133.49
Dec-2010,130.65
Jan-2011,129.03
Feb-2011,127.62
Mar-2011,126.7
Apr-2011,126.43
May-2011,127.06
Jun-2011,128.52
Jul-2011,129.48
Aug-2011,129.49
Sep-2011,127.35
Oct-2011,126.66
Nov-2011,125.28
Dec-2011,125.08
Jan-2012,124.14
Feb-2012,123.91
Mar-2012,125.12
Apr-2012,127.65
May-2012,130.34
Jun-2012,132.95
Jul-2012,134.31
Aug-2012,134.9
Sep-2012,134.71
Oct-2012,134.05
Nov-2012,133.74
Dec-2012,134.02
Jan-2013,135.55
Feb-2013,136.33
Mar-2013,139.78
Apr-2013,142.1
May-2013,144.61
Jun-2013,147.83
Jul-2013,151.17
Aug-2013,153.93
Sep-2013,154.24
Oct-2013,154.4
Nov-2013,154.7
Dec-2013,155.23
Jan-2014,155.79
Feb-2014,154.63
Mar-2014,154.8
Apr-2014,156.55
May-2014,159.27
Jun-2014,161.16
Jul-2014,162
Aug-2014,162.28
Sep-2014,162.54
Oct-2014,163.7
Nov-2014,165.02
Dec-2014,165.06
Jan-2015,164.68
Feb-2015,165
Mar-2015,167.14
Apr-2015,168.08
May-2015,169.32
Jun-2015,169.8
Jul-2015,171.16
Aug-2015,172.09
Sep-2015,172.92
Oct-2015,174.04
Nov-2015,174.94
Dec-2015,176.4
Jan-2016,176.84
Feb-2016,177.9
Mar-2016,179.47
Apr-2016,180.86
May-2016,182.29
Jun-2016,183.02
Jul-2016,184.04
Aug-2016,184.99
Sep-2016,185.88
Oct-2016,187.61
Nov-2016,189.09
Dec-2016,191.19
Jan-2017,191.29
Feb-2017,191.12
Mar-2017,191.54
Apr-2017,192.95
May-2017,195.1
Jun-2017,195.73
Jul-2017,196.97
Aug-2017,197.57
Sep-2017,199.25
Oct-2017,200.4
Nov-2017,202.46
Dec-2017,203.1
Jan-2018,204.02
Feb-2018,204.7
Mar-2018,205.89
Apr-2018,206.82
May-2018,207.87
Jun-2018,209.13
Jul-2018,210.35
Aug-2018,211.44
Sep-2018,212.61
Oct-2018,213.17
Nov-2018,213.93
Dec-2018,213.75
Jan-2019,214.31
Feb-2019,215.7
Mar-2019,216.71
Apr-2019,218.25
May-2019,218.52
Jun-2019,218.97
Jul-2019,219.83
Aug-2019,220.58
