Date,TEN
Jul-2009,155.95
Aug-2009,158.07
Sep-2009,158.77
Oct-2009,158.68
Nov-2009,158.33
Dec-2009,158.16
Jan-2010,157.87
Feb-2010,156.85
Mar-2010,156.21
Apr-2010,157.35
May-2010,159.41
Jun-2010,161.06
Jul-2010,162.24
Aug-2010,162.01
Sep-2010,161
Oct-2010,158.9
Nov-2010,157.5
Dec-2010,156.04
Jan-2011,154.36
Feb-2011,152.38
Mar-2011,150.91
Apr-2011,151.78
May-2011,153.33
Jun-2011,154.87
Jul-2011,156.32
Aug-2011,156.51
Sep-2011,155.61
Oct-2011,153.53
Nov-2011,151.4
Dec-2011,149.58
Jan-2012,147.99
Feb-2012,146.62
Mar-2012,146.45
Apr-2012,148.44
May-2012,151.75
Jun-2012,154.94
Jul-2012,157.21
Aug-2012,158.52
Sep-2012,158.94
Oct-2012,158.67
Nov-2012,158.27
Dec-2012,158.6
Jan-2013,158.61
Feb-2013,159.09
Mar-2013,161.13
Apr-2013,165.35
May-2013,169.47
Jun-2013,173.17
Jul-2013,176.39
Aug-2013,178.71
Sep-2013,179.97
Oct-2013,180.29
Nov-2013,180.2
Dec-2013,180.07
Jan-2014,179.94
Feb-2014,179.96
Mar-2014,181.43
Apr-2014,183.34
May-2014,185.31
Jun-2014,187.18
Jul-2014,188.28
Aug-2014,188.57
Sep-2014,188.34
Oct-2014,188.07
Nov-2014,187.5
Dec-2014,187.57
Jan-2015,187.38
Feb-2015,188.28
Mar-2015,189.71
Apr-2015,191.76
May-2015,193.77
Jun-2015,195.52
Jul-2015,196.7
Aug-2015,197.16
Sep-2015,197.32
Oct-2015,197.15
Nov-2015,197.06
Dec-2015,196.82
Jan-2016,196.69
Feb-2016,197.01
Mar-2016,198.72
Apr-2016,200.77
May-2016,202.31
Jun-2016,203.82
Jul-2016,204.92
Aug-2016,205.51
Sep-2016,205.54
Oct-2016,205.32
Nov-2016,205.65
Dec-2016,206.1
Jan-2017,206.71
Feb-2017,207.25
Mar-2017,209
Apr-2017,210.65
May-2017,212.36
Jun-2017,213.74
Jul-2017,215.37
Aug-2017,216.15
Sep-2017,217.01
Oct-2017,217.43
Nov-2017,218.05
Dec-2017,218.38
Jan-2018,219.02
Feb-2018,220.5
Mar-2018,222.4
Apr-2018,223.97
May-2018,225.25
Jun-2018,226.46
Jul-2018,227.09
Aug-2018,227.32
Sep-2018,227.39
Oct-2018,227.35
Nov-2018,226.85
Dec-2018,226.21
Jan-2019,225.49
Feb-2019,225.75
Mar-2019,227.19
Apr-2019,228.91
May-2019,230.03
Jun-2019,230.68
Jul-2019,230.83
Aug-2019,230.83
