Date,VIX
2009-07-01,25.92
2009-08-01,26.01
2009-09-01,25.610001
2009-10-01,30.690001
2009-11-01,24.51
2009-12-01,21.68
2010-01-01,24.620001
2010-02-01,19.5
2010-03-01,17.59
2010-04-01,22.049999
2010-05-01,32.07
2010-06-01,34.540001
2010-07-01,23.5
2010-08-01,26.049999
2010-09-01,23.700001
2010-10-01,21.200001
2010-11-01,23.540001
2010-12-01,17.75
2011-01-01,19.530001
2011-02-01,18.35
2011-03-01,17.74
2011-04-01,14.75
2011-05-01,15.45
2011-06-01,16.52
2011-07-01,25.25
2011-08-01,31.620001
2011-09-01,42.959999
2011-10-01,29.959999
2011-11-01,27.799999
2011-12-01,23.4
2012-01-01,19.440001
2012-02-01,18.43
2012-03-01,15.5
2012-04-01,17.15
2012-05-01,24.059999
2012-06-01,17.08
2012-07-01,18.93
2012-08-01,17.469999
2012-09-01,15.73
2012-10-01,18.6
2012-11-01,15.87
2012-12-01,18.02
2013-01-01,14.28
2013-02-01,15.51
2013-03-01,12.7
2013-04-01,13.52
2013-05-01,16.299999
2013-06-01,16.860001
2013-07-01,13.45
2013-08-01,17.01
2013-09-01,16.6
2013-10-01,13.75
2013-11-01,13.7
2013-12-01,13.72
2014-01-01,18.41
2014-02-01,14
2014-03-01,13.88
2014-04-01,13.41
2014-05-01,11.4
2014-06-01,11.57
2014-07-01,16.950001
2014-08-01,12.09
2014-09-01,16.309999
2014-10-01,14.03
2014-11-01,13.33
2014-12-01,19.200001
2015-01-01,20.969999
2015-02-01,13.34
2015-03-01,15.29
2015-04-01,14.55
2015-05-01,13.84
2015-06-01,18.23
2015-07-01,12.12
2015-08-01,28.43
2015-09-01,24.5
2015-10-01,15.07
2015-11-01,16.129999
2015-12-01,18.209999
2016-01-01,20.200001
2016-02-01,20.549999
2016-03-01,13.95
2016-04-01,15.7
2016-05-01,14.19
2016-06-01,15.63
2016-07-01,11.87
2016-08-01,13.42
2016-09-01,13.29
2016-10-01,17.059999
2016-11-01,13.33
2016-12-01,14.04
2017-01-01,11.99
2017-02-01,12.92
2017-03-01,12.37
2017-04-01,10.82
2017-05-01,10.41
2017-06-01,11.18
2017-07-01,10.26
2017-08-01,10.59
2017-09-01,9.51
2017-10-01,10.18
2017-11-01,11.28
2017-12-01,11.04
2018-01-01,13.54
2018-02-01,19.85
2018-03-01,19.969999
2018-04-01,15.93
2018-05-01,15.43
2018-06-01,16.09
2018-07-01,12.83
2018-08-01,12.86
2018-09-01,12.12
2018-10-01,21.23
2018-11-01,18.07
2018-12-01,25.42
2019-01-01,16.57
2019-02-01,14.78
2019-03-01,13.71
2019-04-01,13.12
2019-05-01,18.709999
2019-06-01,15.08
2019-07-01,16.120001
2019-08-01,18.98
