Date,VNQ,3MA,6MA,12MA,PCHANGE,3MA PCHANGE,6MA PCHANGE,12MA PCHANGE
2005-09-01,31.98,32.39,31.05,29.23,0.2,1.3,2.9,1.9
2005-10-01,31.42,31.78,31.50,29.61,-1.8,-1.9,1.5,1.3
2005-11-01,32.73,32.04,32.01,30.01,4.2,0.8,1.6,1.4
2005-12-01,31.88,32.01,32.20,30.29,-2.6,-0.1,0.6,0.9
2006-01-01,35.20,33.27,32.52,30.99,10.4,3.9,1.0,2.3
2006-02-01,35.86,34.31,33.18,31.68,1.9,3.1,2.0,2.2
2006-03-01,37.33,36.13,34.07,32.56,4.1,5.3,2.7,2.8
2006-04-01,36.27,36.49,34.88,33.19,-2.8,1.0,2.4,1.9
2006-05-01,35.29,36.30,35.30,33.66,-2.7,-0.5,1.2,1.4
2006-06-01,36.65,36.07,36.10,34.15,3.9,-0.6,2.3,1.5
2006-07-01,38.48,36.81,36.65,34.59,5.0,2.0,1.5,1.3
2006-08-01,39.83,38.32,37.31,35.24,3.5,4.1,1.8,1.9
2006-09-01,40.23,39.51,37.79,35.93,1.0,3.1,1.3,1.9
2006-10-01,43.06,41.04,38.92,36.90,7.0,3.9,3.0,2.7
2006-11-01,45.11,42.80,40.56,37.93,4.8,4.3,4.2,2.8
2006-12-01,43.43,43.87,41.69,38.89,-3.7,2.5,2.8,2.5
2007-01-01,48.17,45.57,43.30,39.98,10.9,3.9,3.9,2.8
2007-02-01,46.87,46.16,44.48,40.89,-2.7,1.3,2.7,2.3
2007-03-01,45.63,46.89,45.38,41.59,-2.6,1.6,2.0,1.7
2007-04-01,45.84,46.12,45.84,42.38,0.5,-1.7,1.0,1.9
2007-05-01,45.67,45.71,45.94,43.25,-0.4,-0.9,0.2,2.0
2007-06-01,41.04,44.18,45.54,43.61,-10.1,-3.4,-0.9,0.8
2007-07-01,38.12,41.61,43.86,43.58,-7.1,-5.8,-3.7,-0.1
2007-08-01,40.69,39.95,42.83,43.66,6.7,-4.0,-2.3,0.2
2007-09-01,41.85,40.22,42.20,43.79,2.8,0.7,-1.5,0.3
2007-10-01,43.17,41.91,41.76,43.80,3.2,4.2,-1.1,0.0
2007-11-01,39.09,41.37,40.66,43.30,-9.5,-1.3,-2.6,-1.1
2007-12-01,36.37,39.54,39.88,42.71,-6.9,-4.4,-1.9,-1.4
2008-01-01,36.68,37.38,39.64,41.75,0.9,-5.5,-0.6,-2.2
2008-02-01,35.51,36.19,38.78,40.81,-3.2,-3.2,-2.2,-2.3
2008-03-01,37.53,36.57,38.06,40.13,5.7,1.1,-1.9,-1.7
2008-04-01,40.23,37.76,37.57,39.66,7.2,3.2,-1.3,-1.2
2008-05-01,40.14,39.30,37.74,39.20,-0.2,4.1,0.5,-1.2
2008-06-01,35.41,38.59,37.58,38.73,-11.8,-1.8,-0.4,-1.2
2008-07-01,37.00,37.52,37.64,38.64,4.5,-2.8,0.1,-0.2
2008-08-01,37.88,36.76,38.03,38.41,2.4,-2.0,1.0,-0.6
2008-09-01,37.34,37.41,38.00,38.03,-1.4,1.8,-0.1,-1.0
2008-10-01,25.83,33.68,35.60,36.58,-30.8,-10.0,-6.3,-3.8
2008-11-01,19.96,27.71,32.24,34.99,-22.7,-17.7,-9.4,-4.4
2008-12-01,22.68,22.82,30.12,33.85,13.6,-17.6,-6.6,-3.3
2009-01-01,19.21,20.62,27.15,32.39,-15.3,-9.7,-9.8,-4.3
2009-02-01,15.27,19.05,23.38,30.71,-20.5,-7.6,-13.9,-5.2
2009-03-01,15.52,16.67,19.75,28.87,1.6,-12.5,-15.6,-6.0
2009-04-01,20.68,17.16,18.89,27.24,33.3,2.9,-4.3,-5.6
2009-05-01,21.22,19.14,19.10,25.67,2.6,11.6,1.1,-5.8
2009-06-01,20.21,20.71,18.69,24.40,-4.8,8.2,-2.2,-4.9
2009-07-01,22.76,21.40,19.28,23.21,12.6,3.3,3.2,-4.9
2009-08-01,26.02,22.99,21.07,22.23,14.3,7.5,9.3,-4.3
2009-09-01,27.46,25.41,23.06,21.40,5.6,10.5,9.4,-3.7
2009-10-01,26.49,26.66,24.03,21.46,-3.5,4.9,4.2,0.3
2009-11-01,28.23,27.40,25.20,22.15,6.6,2.8,4.9,3.2
2009-12-01,29.93,28.22,26.82,22.75,6.0,3.0,6.4,2.7
2010-01-01,28.64,28.94,27.80,23.54,-4.3,2.5,3.7,3.5
2010-02-01,30.24,29.61,28.50,24.78,5.6,2.3,2.5,5.3
2010-03-01,33.08,30.66,29.44,26.25,9.4,3.5,3.3,5.9
2010-04-01,35.71,33.01,30.97,27.50,8.0,7.7,5.2,4.8
2010-05-01,33.80,34.20,31.90,28.55,-5.3,3.6,3.0,3.8
2010-06-01,31.74,33.75,32.20,29.51,-6.1,-1.3,0.9,3.4
2010-07-01,35.11,33.55,33.28,30.54,10.6,-0.6,3.3,3.5
