Date,VEG
Jul-2009,106.08
Aug-2009,105.78
Sep-2009,104.82
Oct-2009,104.71
Nov-2009,104.22
Dec-2009,104.38
Jan-2010,103.82
Feb-2010,103.4
Mar-2010,102.58
Apr-2010,102.82
May-2010,102.35
Jun-2010,101.77
Jul-2010,100.91
Aug-2010,101.03
Sep-2010,101.18
Oct-2010,100.97
Nov-2010,100.59
Dec-2010,99.48
Jan-2011,99.23
Feb-2011,98.28
Mar-2011,97.18
Apr-2011,96.47
May-2011,95.6
Jun-2011,95.67
Jul-2011,95.48
Aug-2011,95.18
Sep-2011,93.8
Oct-2011,92.36
Nov-2011,91.41
Dec-2011,90.7
Jan-2012,90.24
Feb-2012,89.88
Mar-2012,89.87
Apr-2012,90.84
May-2012,92.55
Jun-2012,93.94
Jul-2012,94.57
Aug-2012,96.03
Sep-2012,97.38
Oct-2012,100.14
Nov-2012,100.56
Dec-2012,102.41
Jan-2013,104.04
Feb-2013,105.46
Mar-2013,108.36
Apr-2013,111.05
May-2013,114.09
Jun-2013,117.28
Jul-2013,120.58
Aug-2013,124.09
Sep-2013,125.74
Oct-2013,127.23
Nov-2013,128
Dec-2013,128.53
Jan-2014,129.93
Feb-2014,129.85
Mar-2014,131.33
Apr-2014,131.91
May-2014,133.33
Jun-2014,135.02
Jul-2014,135.9
Aug-2014,136.64
Sep-2014,137.07
Oct-2014,137.13
Nov-2014,137.55
Dec-2014,137.31
Jan-2015,137.54
Feb-2015,137.28
Mar-2015,138.75
Apr-2015,140.09
May-2015,142.12
Jun-2015,143.14
Jul-2015,144.41
Aug-2015,144.88
Sep-2015,144.97
Oct-2015,144.83
Nov-2015,144.72
Dec-2015,145.34
Jan-2016,145.69
Feb-2016,146.16
Mar-2016,147.06
Apr-2016,148.52
May-2016,150.32
Jun-2016,151.39
Jul-2016,152.29
Aug-2016,152.26
Sep-2016,153.09
Oct-2016,152.89
Nov-2016,153.33
Dec-2016,153.71
Jan-2017,154.75
Feb-2017,155.34
Mar-2017,156.6
Apr-2017,158.6
May-2017,160.77
Jun-2017,162.4
Jul-2017,163.66
Aug-2017,165.28
Sep-2017,166.89
Oct-2017,168.38
Nov-2017,169.56
Dec-2017,170.82
Jan-2018,171.63
Feb-2018,173.35
Mar-2018,175.86
Apr-2018,178.71
May-2018,181.03
Jun-2018,183.49
Jul-2018,186.01
Aug-2018,188.14
Sep-2018,189.32
Oct-2018,189.98
Nov-2018,189.96
Dec-2018,190.24
Jan-2019,189.68
Feb-2019,190.12
Mar-2019,190.36
Apr-2019,191.47
May-2019,192.62
Jun-2019,193.56
Jul-2019,194.72
Aug-2019,194.37
