Date,WAS
Jul-2009,176.45
Aug-2009,179.57
Sep-2009,180.71
Oct-2009,180.08
Nov-2009,179.17
Dec-2009,178.8
Jan-2010,177.4
Feb-2010,176.57
Mar-2010,175.41
Apr-2010,179.51
May-2010,182.58
Jun-2010,185.74
Jul-2010,187.15
Aug-2010,187.05
Sep-2010,186.25
Oct-2010,184.96
Nov-2010,183.81
Dec-2010,182.9
Jan-2011,181.35
Feb-2011,179.96
Mar-2011,177.52
Apr-2011,178.48
May-2011,180.57
Jun-2011,182.67
Jul-2011,185.29
Aug-2011,185.97
Sep-2011,186.32
Oct-2011,182.9
Nov-2011,181.11
Dec-2011,178.38
Jan-2012,176.93
Feb-2012,174.56
Mar-2012,176.13
Apr-2012,180.99
May-2012,185.9
Jun-2012,189.28
Jul-2012,191.46
Aug-2012,192.38
Sep-2012,191.84
Oct-2012,190.25
Nov-2012,188.93
Dec-2012,188.73
Jan-2013,187.44
Feb-2013,186.56
Mar-2013,189.67
Apr-2013,194.16
May-2013,198.04
Jun-2013,200.09
Jul-2013,202.97
Aug-2013,204.44
Sep-2013,205.25
Oct-2013,204.38
Nov-2013,203.71
Dec-2013,204.06
Jan-2014,203.32
Feb-2014,203.45
Mar-2014,205.53
Apr-2014,207.56
May-2014,209.32
Jun-2014,210.3
Jul-2014,210.49
Aug-2014,210.22
Sep-2014,209.14
Oct-2014,208.33
Nov-2014,207.15
Dec-2014,206.74
Jan-2015,205.25
Feb-2015,205.69
Mar-2015,206.85
Apr-2015,209.57
May-2015,210.95
Jun-2015,212.48
Jul-2015,212.98
Aug-2015,212.81
Sep-2015,211.81
Oct-2015,210.68
Nov-2015,210.39
Dec-2015,209.64
Jan-2016,208.88
Feb-2016,208.12
Mar-2016,209.35
Apr-2016,212.72
May-2016,214.74
Jun-2016,215.89
Jul-2016,216.03
Aug-2016,215.95
Sep-2016,215.5
Oct-2016,215.16
Nov-2016,214.87
Dec-2016,215.37
Jan-2017,215.21
Feb-2017,215.91
Mar-2017,217
Apr-2017,219.17
May-2017,220.73
Jun-2017,222.11
Jul-2017,222.67
Aug-2017,222.35
Sep-2017,221.63
Oct-2017,221.6
Nov-2017,221.89
Dec-2017,221.35
Jan-2018,220.28
Feb-2018,221.1
Mar-2018,223.5
Apr-2018,225.99
May-2018,227.23
Jun-2018,228.3
Jul-2018,228.58
Aug-2018,228.39
Sep-2018,227.79
Oct-2018,227.75
Nov-2018,227.68
Dec-2018,227.3
Jan-2019,226.98
Feb-2019,227.68
Mar-2019,229.85
Apr-2019,232.1
May-2019,233.71
Jun-2019,234.92
Jul-2019,234.67
Aug-2019,234.67
