Date,ATL,BOS,CHA,CHI,CLE,DAL,DET,NYC,MIA,MIN,POR,SFC,SEA,TAM,VEG,WAS,NAT
12/1/2011,1188,2015,1081,1483,760,1112,766,1746,1692,1313,1334,2958,1715,1114,1140,2335,1485
1/1/2012,1187,2037,1086,1484,761,1103,760,1752,1697,1310,1338,2974,1720,1115,1137,2335,1487
2/1/2012,1185,2055,1093,1485,760,1101,758,1764,1704,1313,1332,2983,1725,1116,1133,2341,1491
3/1/2012,1179,2067,1100,1489,759,1102,756,1778,1715,1314,1329,3001,1736,1118,1130,2349,1495
4/1/2012,1171,2081,1104,1494,759,1104,754,1792,1723,1314,1330,3019,1746,1123,1127,2360,1500
5/1/2012,1161,2123,1105,1496,762,1108,751,1804,1728,1314,1337,3039,1749,1131,1127,2372,1507
6/1/2012,1153,2164,1107,1493,769,1112,749,1813,1727,1316,1347,3063,1744,1141,1127,2381,1513
7/1/2012,1148,2206,1110,1491,779,1121,747,1814,1732,1317,1354,3089,1736,1149,1128,2377,1519
8/1/2012,1144,2204,1114,1491,788,1127,744,1810,1735,1315,1360,3104,1733,1153,1126,2366,1520
9/1/2012,1141,2201,1117,1498,796,1138,743,1805,1735,1316,1359,3094,1734,1155,1125,2358,1520
10/1/2012,1139,2190,1120,1509,800,1146,745,1806,1731,1323,1355,3062,1739,1158,1124,2360,1519
11/1/2012,1141,2201,1123,1513,801,1160,745,1817,1733,1336,1350,3021,1745,1162,1125,2385,1522
12/1/2012,1146,2211,1126,1517,805,1164,747,1831,1744,1349,1360,3002,1755,1163,1126,2397,1528
1/1/2013,1149,2217,1128,1514,806,1167,749,1851,1761,1362,1376,3024,1768,1161,1128,2411,1536
2/1/2013,1153,2229,1131,1511,806,1174,751,1870,1776,1377,1396,3072,1781,1159,1130,2426,1546
3/1/2013,1157,2246,1135,1512,805,1181,751,1888,1786,1387,1407,3149,1797,1159,1131,2434,1558
4/1/2013,1167,2263,1139,1527,804,1190,751,1901,1796,1392,1415,3222,1807,1161,1131,2436,1569
5/1/2013,1182,2258,1143,1544,803,1195,751,1918,1800,1397,1420,3277,1816,1165,1132,2431,1577
6/1/2013,1196,2261,1147,1560,804,1200,753,1941,1809,1400,1421,3312,1828,1170,1134,2433,1586
7/1/2013,1201,2268,1150,1562,806,1199,755,1968,1815,1404,1418,3337,1837,1173,1138,2438,1592
8/1/2013,1201,2303,1153,1568,810,1199,754,1987,1824,1406,1415,3356,1848,1176,1141,2450,1599
9/1/2013,1199,2327,1157,1574,814,1199,752,1999,1840,1412,1417,3374,1860,1182,1145,2459,1607
