City,Population Rank,January 2017
New York,1,2322
Los Angeles,2,2753
Chicago,3,1632
Houston,4,1430
Philadelphia,5,1212
Phoenix,6,1247
Las Vegas,7,1239
San Antonio,8,1250
San Diego,9,2469
Dallas,10,1391
San Jose,11,3286
Jacksonville,12,1151
San Francisco,13,4382
Indianapolis,14,1078
Austin,15,1780
Fort Worth,16,1375
Detroit,17,750
Columbus,18,1116
Memphis,19,843
Charlotte,20,1294
El Paso,21,993
Boston,22,2524
Seattle,23,2481
Baltimore,24,1306
Denver,25,1974
Washington,26,2569
Nashville,27,1535
Milwaukee,28,1006
Tucson,29,1056
Portland,30,1859
Oklahoma City,31,1073
Omaha,32,1300
Albuquerque,33,1197
Fresno,34,1241
Sacramento,35,1504
Mesa,36,1280
Long Beach,37,2375
Kansas City,38,1021
Virginia Beach,39,1534
Colorado Springs,40,1392
Atlanta,41,1486
Miami,42,2088
Oakland,43,2882
Tulsa,44,965
Cleveland,45,843
Honolulu,46,2439
Minneapolis,47,1561
Baton Rouge,48,1306
New Orleans,49,1404
Arlington,50,1447
Raleigh,51,1384
Wichita,52,897
Tampa,53,1302
Anaheim,54,2608
Santa Ana,55,2473
Aurora,56,1779
Saint Louis,57,892
Corpus Christi,58,1363
Cincinnati,59,1108
Pittsburgh,60,1099
Riverside,61,1778
Marietta,62,1576
Anchorage,63,1900
Bakersfield,64,1344
Saint Paul,65,1398
Toledo,66,781
Silver Spring,67,2157
Lexington,68,1207
Newark,69,1512
Tallahassee,70,1199
Stockton,71,1363
Plano,72,1951
Buffalo,73,878
Chandler,74,1475
Louisville,75,950
Henderson,76,1376
Modesto,77,1340
Mobile,78,928
Jersey City,79,2087
Lubbock,80,1176
Glendale,81,1248
Durham,82,1300
Orlando,83,1285
Norfolk,84,1250
Saint Petersburg,85,1315
Pensacola,86,955
Fort Wayne,87,944
Greensboro,88,989
Lincoln,89,1267
San Bernardino,90,1434
Corona,91,2155
Chula Vista,92,2380
Chesapeake,93,1548
Hialeah,94,1789
Madison,95,1530
Garland,96,1425
Fontana,97,1848
Fort Myers,98,1568
Knoxville,99,1017
Laredo,100,1096
North Las Vegas,101,1196
Lawrenceville,102,1365
Fremont,103,3150
Fayetteville,104,850
Springfield,105,823
Arlington,106,2765
Irving,107,1490
Gilbert,108,1545
Scottsdale,109,2153
Rochester,110,951
Winston-Salem,111,982
Irvine,112,3145
Richmond,113,1196
Boca Raton,114,2244
Oxnard,115,2374
Bradenton,116,1615
Montgomery,117,851
Santa Rosa,118,2504
Des Moines,119,1114
Reno,120,1528
Spokane,121,1084
Augusta,122,847
Tacoma,123,1475
Grand Rapids,124,1208
Oceanside,125,2354
Gainesville,126,1208
Woodbridge,127,1804
Ocala,128,989
Glendale,129,2959
Boise,130,1226
Greenville,131,1226
Birmingham,132,747
Salt Lake City,133,1436
Huntington Beach,134,3074
Akron,135,747
Rockford,136,906
Salinas,137,2140
Worcester,138,1492
Moreno Valley,139,1660
Little Rock,140,1026
Port Saint Lucie,141,1409
Brownsville,142,907
Providence,143,1414
Amarillo,144,1152
Lancaster,145,1651
Fort Collins,146,1731
Shreveport,147,896
Evansville,148,829
Yonkers,149,2535
Hayward,150,2668
Chattanooga,151,1108
Columbus,152,813
Aurora,153,1543
Ontario,154,1863
Jackson,155,803
Grand Prairie,156,1448
Rancho Cucamonga,157,2203
Overland Park,158,1817
Newport News,159,1230
Garden Grove,160,2561
Killeen,161,932
Roanoke,162,1023
Sioux Falls,163,1159
Tempe,164,1391
Vancouver,165,1607
Huntsville,166,991
El Cajon,167,2322
Palmdale,168,1727
Topeka,169,895
Elk Grove,170,1801
Pueblo,171,1096
Fredericksburg,172,1536
Cape Coral,173,1504
Springfield,174,1354
Murfreesboro,175,1385
Clarksville,176,1002
Naperville,177,2318
Peoria,178,1368
Fairfax,179,2473
Santa Clarita,180,2546
Pomona,181,2038
Lafayette,182,1348
Kansas City,183,838
Boynton Beach,184,1845
Syracuse,185,1054
Salem,186,1449
Hollywood,187,1718
Paterson,188,1469
Lakewood,189,1945
Alexandria,190,2414
Dayton,191,701
Yuma,192,933
Sunnyvale,193,3806
Visalia,194,1236
Las Cruces,195,986
Charleston,196,1794
Beaumont,197,1086
Pasadena,198,1314
Bridgeport,199,1632
Eugene,200,1360
Escondido,201,2309
Newark,202,1477
Sugar Land,203,2012
Round Rock,204,1663
Hampton,205,1192
Pasadena,206,2739
Torrance,207,3045
Columbia,208,1069
Tyler,209,1166
Mesquite,210,1347
Fullerton,211,2729
Warren,212,1141
McKinney,213,1861
West Valley City,214,1368
Renton,215,2145
Canton,216,820
Metairie,217,1525
Santa Maria,218,1809
Edinburg,219,1114
Inglewood,220,2356
Orange,221,2916
New Haven,222,1412
Cumming,223,1696
Flint,224,549
Abilene,225,1008
Compton,226,2101
McAllen,227,1200
Bellevue,228,2695
Saginaw,229,673
Bloomington,230,1255
Olathe,231,1661
Miramar,232,1904
Queen Creek,233,1226
Coral Springs,234,1986
East Los Angeles,235,2105
Hamilton,236,1183
Hartford,237,1211
Stamford,238,2589
Savannah,239,1115
Simi Valley,240,2626
Concord,241,2535
Sterling Heights,242,1447
Elizabeth,243,1683
Frisco,244,2349
Joliet,245,1345
Carrollton,246,1743
Billings,247,1288
Allentown,248,1163
Amherst,249,1717
Santa Fe,250,1753
Vallejo,251,1886
Independence,252,920
Santa Clara,253,3472
Cary,254,1699
Cypress,255,1740
Conroe,256,1541
Surprise,257,1310
Berkeley,258,3483
Hemet,259,1415
Norman,260,1199
Falls Church,261,2398
Denton,262,1560
Downey,263,2443
Waco,264,964
Thornton,265,1856
Frederick,266,1650
Westminster,267,1880
Lansing,268,793
Victorville,269,1264
Waterbury,270,1242
New Port Richey,271,1190
Temecula,272,2166
Miami Gardens,273,1752
Costa Mesa,274,3025
Athens,275,1126
Manchester,276,1536
Vista,277,2389
Rochester,278,1353
Tracy,279,2115
Ventura,280,2472
Murrieta,281,2047
Peoria,282,864
Chico,283,1548
Ann Arbor,284,1951
Lowell,285,2004
Gainesville,286,1233
Clovis,287,1528
Cambridge,288,2648
Sparks,289,1456
Roseville,290,1982
Norwalk,291,2235
Redding,292,1306
El Monte,293,2235
College Station,294,1635
Burbank,295,3019
West Jordan,296,1500
Nampa,297,1045
Everett,298,1697
Broken Arrow,299,1263
Provo,300,1229
Spartanburg,301,982
Bend,302,1707
Palm Bay,303,1229
Tuscaloosa,304,1159
Clearwater,305,1406
Springfield,306,2370
Wilmington,307,1267
Pompano Beach,308,1595
Davenport,309,1111
Hesperia,310,1288
Grand Junction,311,1190
Rock Hill,312,1113
Stone Mountain,313,1118
Fargo,314,1364
Edison,315,2247
West Covina,316,2339
Carlsbad,317,3158
Vacaville,318,2001
Bowling Green,319,1159
Lewisville,320,1696
Beaverton,321,1768
Saint Augustine,322,1550
West Palm Beach,323,1599
Columbia,324,1133
Erie,325,887
Cedar Rapids,326,1056
Jacksonville,327,848
Norcross,328,1216
Wichita Falls,329,852
Green Bay,330,906
Fairfield,331,2089
Madera,332,1189
San Mateo,333,3811
Merced,334,1144
Daly City,335,3490
Perris,336,1635
Livonia,337,1343
San Leandro,338,2710
Dearborn,339,1135
South Gate,340,2171
Sandy Springs,341,2516
Town of Greece,342,1339
Albany,343,1396
Richardson,344,1851
Portsmouth,345,1167
Longview,346,1181
Laurel,347,2006
Orange Park,348,1230
Vero Beach,349,1443
Spring Hill,350,1148
Duluth,351,1441
Davie,352,1953
West Chester,353,2222
Columbia,354,2159
Newton,355,3010
Brockton,356,1724
Albany,357,777
Lakeland,358,1121
Lawrence,359,1305
Lehigh Acres,360,1198
Napa,361,2548
Mission Viejo,362,3032
Santa Cruz,363,3114
Lakewood Township,364,1843
Antioch,365,2139
Centennial,366,2227
Riverview,367,1402
Kenosha,368,1211
South Bend,369,702
Arvada,370,1983
Lawton,371,694
Annapolis,372,2179
Clinton Township,373,1206
Rialto,374,1699
Indio,375,1847
Highlands Ranch,376,2384
New Bedford,377,1305
Federal Way,378,1884
Hillsboro,379,1729
Sandy,380,1641
Champaign,381,1106
Bethlehem Township,382,1719
Greeley,383,1427
Canton,384,1693
Elgin,385,1556
Meridian,386,1364
Santa Monica,387,4560
Kennewick,388,1413
Yakima,389,1144
Muncie,390,752
Valdosta,391,902
Plantation,392,1862
Lithonia,393,1048
Kalamazoo,394,933
Cheyenne,395,1323
Lynchburg,396,982
McDonough,397,1263
Terre Haute,398,730
Livermore,399,2990
Bryan,400,1306
Elkhart,401,914
San Angelo,402,1179
Decatur,403,828
Duluth,404,1247
Sunrise,405,1645
Orem,406,1338
Anderson,407,948
Miami Beach,408,2224
Fall River,409,1398
Concord,410,1240
Flagstaff,411,1806
Allen,412,1932
Franklin,413,2491
Herndon,414,2409
Midlothian,415,1720
Toms River,416,1862
Trenton,417,1278
Pearland,418,1893
Bloomington,419,1608
Nashua,420,1769
Edmond,421,1469
Chapel Hill,422,1859
Williamsburg,423,1752
Reading,424,753
Cicero,425,1391
Holland,426,1218
Westland,427,1103
Sioux City,428,951
Bowie,429,2133
Kennesaw,430,1441
Boulder,431,2515
Clifton,432,1774
Norwalk,433,2373
Citrus Heights,434,1531
Buena Park,435,2516
Town of Poughkeepsie,436,1735
Gary,437,757
Apopka,438,1402
Troy,439,1958
Germantown,440,1804
Richmond,441,2380
Hawthorne,442,2505
San Tan Valley,443,1095
Johnson City,444,995
Chino,445,2142
Parma,446,1089
Gulfport,447,922
Suffolk,448,1465
Macomb Township,449,1800
Spokane Valley,450,1198
Lexington,451,1238
Farmington Hills,452,1888
Ogden,453,1002
Alhambra,454,2437
Leesburg,455,2346
Kent,456,1943
Acworth,457,1392
Loveland,458,1679
Sterling,459,2117
Cleveland,460,939
Douglasville,461,1135
Redwood City,462,4008
Quincy,463,2299
Danbury,464,1906
Arden-Arcade,465,1597
Parker,466,2402
Hattiesburg,467,1129
Utica,468,1266
Glen Burnie,469,1745
Lees Summit,470,1464
Dalton,471,994
Woodstock,472,1454
Ashburn,473,2476
Jackson,474,911
Watsonville,475,2559
Rio Rancho,476,1200
Owensboro,477,911
Roswell,478,2092
Lakewood,479,2447
Longmont,480,1882
Newnan,481,1340
Medford,482,1389
Fort Smith,483,853
Cranston,484,1630
Camden,485,1400
Melbourne,486,1245
Houma,487,1077
Tustin,488,2928
Brooklyn Park,489,1535
Bloomington,490,1255
Walnut Creek,491,3272
Conyers,492,1069
Town 'n' Country,493,1340
Whittier,494,2401
Milton,495,1098
Lawrence,496,1742
Eau Claire,497,1160
Thousand Oaks,498,3048
Upland,499,2419
Iowa City,500,1480
Manteca,501,1706
Greenwood,502,1303
Arlington Heights,503,1996
Mission,504,1161
Sumter,505,796
Carson,506,2503
New Braunfels,507,1507
Bethlehem,508,1303
Mountain View,509,4090
Evanston,510,1922
Bellflower,511,2327
Plant City,512,1296
Westminster,513,2715
Warner Robins,514,902
Covington,515,1037
Covina,516,2299
Shelby Township,517,1549
Pflugerville,518,1643
Waukegan,519,1289
Conway,520,979
Redmond,521,2625
High Point,522,885
Somerville,523,2554
