Date,DJIA
2009-07-01,9172
2009-08-01,9496
2009-09-01,9712
2009-10-01,9713
2009-11-01,10345
2009-12-01,10428
2010-01-01,10067
2010-02-01,10325
2010-03-01,10857
2010-04-01,11009
2010-05-01,10137
2010-06-01,9774
2010-07-01,10466
2010-08-01,10015
2010-09-01,10788
2010-10-01,11118
2010-11-01,11006
2010-12-01,11578
2011-01-01,11892
2011-02-01,12226
2011-03-01,12320
2011-04-01,12811
2011-05-01,12570
2011-06-01,12414
2011-07-01,12143
2011-08-01,11614
2011-09-01,10913
2011-10-01,11955
2011-11-01,12046
2011-12-01,12218
2012-01-01,12633
2012-02-01,12952
2012-03-01,13212
2012-04-01,13214
2012-05-01,12393
2012-06-01,12880
2012-07-01,13009
2012-08-01,13091
2012-09-01,13437
2012-10-01,13096
2012-11-01,13026
2012-12-01,13104
2013-01-01,13861
2013-02-01,14054
2013-03-01,14579
2013-04-01,14840
2013-05-01,15116
2013-06-01,14910
2013-07-01,15500
2013-08-01,14810
2013-09-01,15130
2013-10-01,15546
2013-11-01,16086
2013-12-01,16577
2014-01-01,15699
2014-02-01,16322
2014-03-01,16458
2014-04-01,16581
2014-05-01,16717
2014-06-01,16827
2014-07-01,16563
2014-08-01,17098
2014-09-01,17043
2014-10-01,17391
2014-11-01,17828
2014-12-01,17823
2015-01-01,17165
2015-02-01,18133
2015-03-01,17776
2015-04-01,17841
2015-05-01,18011
2015-06-01,17620
2015-07-01,17690
2015-08-01,16528
2015-09-01,16285
2015-10-01,17664
2015-11-01,17720
2015-12-01,17425
2016-01-01,16466
2016-02-01,16517
2016-03-01,17685
2016-04-01,17774
2016-05-01,17787
2016-06-01,17930
2016-07-01,18432
2016-08-01,18401
2016-09-01,18308
2016-10-01,18142
2016-11-01,19124
2016-12-01,19763
2017-01-01,19864
2017-02-01,20812
2017-03-01,20663
2017-04-01,20941
2017-05-01,21009
2017-06-01,21350
2017-07-01,21891
2017-08-01,21948
2017-09-01,22405
2017-10-01,23377
2017-11-01,24272
2017-12-01,24719
2018-01-01,26149
2018-02-01,25029
2018-03-01,24103
2018-04-01,24163
2018-05-01,24416
2018-06-01,24271
2018-07-01,25415
2018-08-01,25965
2018-09-01,26458
2018-10-01,25116
2018-11-01,25538
2018-12-01,23327
2019-01-01,25000
2019-02-01,25916
2019-03-01,25929
2019-04-01,26593
2019-05-01,24815
2019-06-01,26600
2019-07-01,26864
2019-08-01,26403
