Date,ATL,BOS,CHA,CHI,CLE,DAL,DET,MIA,MIN,NYC,POR,SEA,SFC,TAM,VEG,WAS,TEN,NAT
Jul-2009,110.09,154.53,121.23,128.32,107.93,121.26,70.24,147.27,119.36,173.91,150.06,149.44,128.86,142.84,106.08,176.45,155.95,150.75
Aug-2009,111.27,155.94,120.72,130.55,107.42,121.5,71.59,148.91,122.98,175.13,150.46,149.54,132.47,143.43,105.78,179.57,158.07,150.67
Sep-2009,111.26,155.62,119.84,132.13,105.75,120.63,72.81,149.69,125.24,174.81,149.72,148.94,134.16,142.57,104.82,180.71,158.77,149.63
Oct-2009,110.12,154.71,119.05,130.75,104.97,119.91,72.88,149.09,124.8,174.42,149.88,149.26,135.81,140.27,104.71,180.08,158.68,148.59
Nov-2009,109.29,153.98,118.66,129.36,104.75,119.96,72.41,149.08,124.31,172.65,150.38,148.56,136.63,139.66,104.22,179.17,158.33,147.95
Dec-2009,108.62,153.78,117.79,127.26,103.86,118.83,72.56,148.66,123.64,171.85,149.95,147.54,136.4,138.85,104.38,178.8,158.16,146.67
Jan-2010,107.04,153.01,117.16,125.11,103.29,117.29,71.84,148.32,122.56,171.39,147.29,145.09,135.63,138.18,103.82,177.4,157.87,145.0
Feb-2010,105.65,151.42,115.98,122.57,101.53,115.27,70.55,147.52,119.85,170.56,143.69,143.56,134.67,136.54,103.4,176.57,156.85,143.06
Mar-2010,103.73,151.39,114.77,119.71,103.32,115.82,67.68,146.15,117.24,169.26,143.61,143.72,136.74,136.46,102.58,175.41,156.21,143.6
Apr-2010,105.69,153.56,116.05,120.43,104.77,118.18,67.81,145.04,119.35,168.89,146.25,145.14,139.77,137.09,102.82,179.51,157.35,145.4
May-2010,107.86,155.95,116.39,121.9,105.85,119.92,68.34,146.33,122.7,170.47,147.98,146.82,142.16,138.29,102.35,182.58,159.41,147.03
Jun-2010,109.72,157.83,117.24,124.9,107.26,121.04,70.04,146.92,125.92,172.85,148.73,146.83,142.55,138.58,101.77,185.74,161.06,147.7
Jul-2010,110.02,158.83,117.03,126.17,107.31,120.75,71.17,147.88,126.79,175.02,148.33,147.04,143.23,138.24,100.91,187.15,162.24,147.55
Aug-2010,108.95,158.35,116.57,126.7,107.0,119.36,71.5,147.47,126.37,175.18,147.02,145.93,142.83,137.53,101.03,187.05,162.01,146.42
Sep-2010,106.39,156.27,115.4,124.76,103.78,117.44,70.59,145.64,123.75,174.43,144.3,145.07,141.54,136.5,101.18,186.25,161.0,144.6
Oct-2010,103.3,154.34,114.12,122.28,102.13,116.11,69.24,144.03,121.5,171.5,142.16,143.13,138.84,134.92,100.97,184.96,158.9,143.13
Nov-2010,100.8,152.76,113.45,119.57,100.03,114.88,68.1,143.81,119.18,169.53,139.92,141.57,137.28,133.49,100.59,183.81,157.5,141.82
Dec-2010,100.06,152.52,112.41,117.86,100.21,114.67,68.07,143.11,117.39,167.92,138.23,138.7,136.02,130.65,99.48,182.9,156.04,140.64
Jan-2011,100.33,152.18,111.32,115.78,99.13,114.04,67.63,141.3,113.46,165.92,135.8,135.41,133.37,129.03,99.23,181.35,154.36,139.05
